device_name;session_uid;ct_upd;upd_state;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i)
SMPN-BIE-001;SMPN-BIE-001;PLC_CT06;upd_fail_smpn_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22801;22801;22801
SMPN-BIE-003;SMPN-BIE-003;PLC_CT06;upd_fail_smpn_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22811;22811;22811
SMPS-BIE-002;SMPS-BIE-002;PLC_CT06;upd_fail_smps_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22821;22821;22821
SAPR-BIE-002;SAPR-BIE-002;PLC_CT06;upd_fail_sapr;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22831;22831;22831
SMPN-BIE-005;SMPN-BIE-005;PLC_CT06;upd_fail_smpn_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22841;22841;22841
SMPS-BIE-004;SMPS-BIE-004;PLC_CT06;upd_fail_smps_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22851;22851;22851
SMPN-BIE-007;SMPN-BIE-007;PLC_CT06;upd_fail_smpn_4;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22861;22861;22861
SMPN-BIE-009;SMPN-BIE-009;PLC_CT06;upd_fail_smpn_4;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22871;22871;22871
IPRO-BIE-001;IPRO-BIE-001;PLC_CT06;upd_fail_ipro_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22881;22881;22881
S2TS-BIE-040;S2TS-BIE-040;PLC_CT06;upd_fail_2e12_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22891;22891;22891
S2TN-BIE-040;S2TN-BIE-040;PLC_CT06;upd_fail_2e12;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22901;22901;22901
S2TS-BIE-042;S2TS-BIE-042;PLC_CT06;upd_fail_2e12_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22911;22911;22911
S2TN-BIE-042;S2TN-BIE-042;PLC_CT06;upd_fail_2e12;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22921;22921;22921
S2TS-BIE-044;S2TS-BIE-044;PLC_CT06;upd_fail_2e13_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22931;22931;22931
S2TN-BIE-044;S2TN-BIE-044;PLC_CT06;upd_fail_2e13;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22941;22941;22941
S2TS-BIE-046;S2TS-BIE-046;PLC_CT06;upd_fail_2e13_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22951;22951;22951
S2TN-BIE-046;S2TN-BIE-046;PLC_CT06;upd_fail_2e13;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22961;22961;22961
S2TS-BIE-048;S2TS-BIE-048;PLC_CT06;upd_fail_2e14_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22971;22971;22971
S2TN-BIE-048;S2TN-BIE-048;PLC_CT06;upd_fail_2e14;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22981;22981;22981
S2TS-BIE-050;S2TS-BIE-050;PLC_CT06;upd_fail_2e14_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;22991;22991;22991
S2TN-BIE-050;S2TN-BIE-050;PLC_CT06;upd_fail_2e14;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23001;23001;23001
S2TN-BIE-052;S2TN-BIE-052;PLC_CT06;upd_fail_2e15;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23011;23011;23011
S2TN-BIE-054;S2TN-BIE-054;PLC_CT06;upd_fail_2e15;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23021;23021;23021
S2TS-BIE-056;S2TS-BIE-056;PLC_CT06;upd_fail_2e16_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23031;23031;23031
S2TN-BIE-056;S2TN-BIE-056;PLC_CT06;upd_fail_2e16;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23041;23041;23041
S2TS-BIE-058;S2TS-BIE-058;PLC_CT06;upd_fail_2e16_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23051;23051;23051
S2TN-BIE-058;S2TN-BIE-058;PLC_CT06;upd_fail_2e17;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT06_PLC_B;10.133.50.37;28037;monitor;;23061;23061;23061
