device_name;session_uid;sos_electronic_fail;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i)
INKO-BIE-004;INKO-BIE-004;INKO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10000
INKO-BIE-002;INKO-BIE-002;INKO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10017
SNUK-BIE-001;SNUK-BIE-001;SNUK-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10034
SNUK-BIE-003;SNUK-BIE-003;SNUK-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10051
ICNP-BIE-010;ICNP-BIE-010;ICNP-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10068
ICNP-BIE-008;ICNP-BIE-008;ICNP-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10119
INKP-BIE-013;INKP-BIE-013;INKP-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10136
SNKO-BIE-002;SNKO-BIE-002;SNKO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10153
ICNP-BIE-006;ICNP-BIE-006;ICNP-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10170
INKP-BIE-011;INKP-BIE-011;INKP-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10187
SNKO-BIE-004;SNKO-BIE-004;SNKO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10204
ICNP-BIE-004;ICNP-BIE-004;ICNP-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10221
INKP-BIE-009;INKP-BIE-009;INKP-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10238
ICNP-BIE-002;ICNP-BIE-002;ICNP-CAB-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10255
INKP-BIE-007;INKP-BIE-007;INKP-CAB-004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10272
INKP-BIE-005;INKP-BIE-005;INKP-CAB-005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10289
INKP-BIE-003;INKP-BIE-003;INKP-CAB-006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10306
INKP-BIE-001;INKP-BIE-001;INKP-CAB-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10323
IVIP-BIE-003;IVIP-BIE-003;IVIP-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10357
IVIP-BIE-001;IVIP-BIE-001;IVIP-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10374
S2TN-BIE-015;S2TN-BIE-015;S2TN-CAB-043;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10391
S2TS-BIE-015;S2TS-BIE-015;S2TS-CAB-007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10408
S2TN-BIE-017;S2TN-BIE-017;S2TN-CAB-042;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10459
S2TS-BIE-017;S2TS-BIE-017;S2TS-CAB-008;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10476
S2TN-BIE-019;S2TN-BIE-019;S2TN-CAB-041;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10493
S2TS-BIE-019;S2TS-BIE-019;S2TS-CAB-009;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10510
S2TS-BIE-021;S2TS-BIE-021;S2TS-CAB-010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10527
S2TN-BIE-021;S2TN-BIE-021;S2TN-CAB-040;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10544
S2TN-BIE-023;S2TN-BIE-023;S2TN-CAB-039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10595
S2TS-BIE-023;S2TS-BIE-023;S2TS-CAB-011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10612
S2TN-BIE-025;S2TN-BIE-025;S2TN-CAB-038;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10629
S2TS-BIE-025;S2TS-BIE-025;S2TS-CAB-012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10646
S2TN-BIE-027;S2TN-BIE-027;S2TN-CAB-037;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10697
S2TS-BIE-027;S2TS-BIE-027;S2TS-CAB-013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10714
S2TN-BIE-029;S2TN-BIE-029;S2TN-CAB-036;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10765
S2TS-BIE-029;S2TS-BIE-029;S2TS-CAB-014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10782
S2TN-BIE-031;S2TN-BIE-031;S2TN-CAB-035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10799
S2TS-BIE-031;S2TS-BIE-031;S2TS-CAB-015;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10816
S2TN-BIE-033;S2TN-BIE-033;S2TN-CAB-034;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10833
S2TS-BIE-033;S2TS-BIE-033;S2TS-CAB-016;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_A;10.133.50.37;28029;monitor;;10850
