device_name;session_uid;ip;port(i);url_publisher;read_permission;write_permission
CT01_PLC_A;CT01_PLC_A;10.133.50.37;28001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT01_PLC_B;CT01_PLC_B;10.133.50.37;28002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT02_PLC_A;CT02_PLC_A;10.133.50.37;28003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT02_PLC_B;CT02_PLC_B;10.133.50.37;28004;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT03_PLC_A;CT03_PLC_A;10.133.50.37;28005;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT03_PLC_B;CT03_PLC_B;10.133.50.37;28006;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT04_PLC_A;CT04_PLC_A;10.133.50.37;28007;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT04_PLC_B;CT04_PLC_B;10.133.50.37;28008;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT05_PLC_A;CT05_PLC_A;10.133.50.37;28009;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT05_PLC_B;CT05_PLC_B;10.133.50.37;28010;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT06_PLC_A;CT06_PLC_A;10.133.50.37;28011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT06_PLC_B;CT06_PLC_B;10.133.50.37;28012;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT07_PLC_A;CT07_PLC_A;10.133.50.37;28013;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT07_PLC_B;CT07_PLC_B;10.133.50.37;28014;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT08_PLC_A;CT08_PLC_A;10.133.50.37;28015;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
CT08_PLC_B;CT08_PLC_B;10.133.50.37;28016;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;
