device_name;plc_name;plc_ip;port(i);url_publisher;offset_alarms(i)
CT05-TR1-SE5;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;21701
CT05-TR2-SE5;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;21711
CT05-TR3-SE5;CT05_PLC_G;10.133.50.37;28035;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;21721
