device_name;deteccion_lazo;host;port(i);url_publisher;session_uid;bit_alarm(i);offset_alarm(i);bit_fail(i);offset_fail(i)
CT03-CCI-001.Z1PUL1;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1PUL1;1;28672;2;28672
CT03-CCI-001.Z1DO1;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1DO1;1;28674;2;28674
CT03-CCI-001.Z1DO2;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1DO2;1;28675;2;28675
CT03-CCI-001.Z1DO4;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1DO4;1;28676;2;28676
CT03-CCI-001.Z1PUL2;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1PUL2;1;28678;2;28678
CT03-CCI-001.Z1DO3;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z1DO3;1;28679;2;28679
CT03-CCI-001.Z2DO1;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z2DO1;1;28681;2;28681
CT03-CCI-001.Z3DT2;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z3DT2;1;28682;2;28682
CT03-CCI-001.Z3DT1;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z3DT1;1;28683;2;28683
CT03-CCI-001.Z3PUL1;CT03-CCI-001;10.75.113.6;502;http://10.133.50.38:3001/api/v2/generic/;CT03-CCI-001.Z3PUL1;1;28684;2;28684
CT01-CCI-001.Z1DO1;CT01-CCI-001;10.75.111.6;502;http://10.133.50.38:3001/api/v2/generic/;CT01-CCI-001.Z1DO1;1;28673;2;28673
