device_name;session_uid;url_publisher;read_permission;write_permission;host;port(i)
CT01-TFYA-001;CT01-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.111.9;502
CT01-TUPS-001;CT01-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.111.10;502
CT02-TD1-001;CT02-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.9;502
CT02-TD1-002;CT02-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.10;502
CT02-TCCMP-001;CT02-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.11;502
CT02-TCCMP-002;CT02-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.12;502
CT02-TFYA-001;CT02-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.13;502
CT02-TUPS-001;CT02-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.112.14;502
CT03-TFYA-001;CT03-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.113.8;502
CT03-TUPS-001;CT03-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.113.9;502
CT04-TD1-001;CT04-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.9;502
CT04-TD1-002;CT04-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.10;502
CT04-TCCMP-001;CT04-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.11;502
CT04-TCCMP-002;CT04-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.12;502
CT04-TFYA-001;CT04-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.13;502
CT04-TUPS-001;CT04-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.114.14;502
CT05-TD1-001;CT05-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.9;502
CT05-TD1-002;CT05-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.10;502
CT05-TCCMP-001;CT05-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.11;502
CT05-TCCMP-002;CT05-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.12;502
CT05-TFYA-001;CT05-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.13;502
CT05-TUPS-001;CT05-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.115.14;502
CT06-TD1-001;CT06-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.11;502
CT06-TD1-002;CT06-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.12;502
CT06-TCCMP-001;CT06-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.13;502
CT06-TCCMP-002;CT06-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.14;502
CT06-TFYA-001;CT06-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.15;502
CT06-TUPS-001;CT06-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.116.16;502
CT07-TD1-001;CT07-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.9;502
CT07-TD1-002;CT07-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.10;502
CT07-TCCMP-001;CT07-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.11;502
CT07-TCCMP-002;CT07-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.12;502
CT07-TFYA-001;CT07-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.13;502
CT07-TUPS-001;CT07-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.117.14;502
CT08-TD1-001;CT08-TD1-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.9;502
CT08-TD1-002;CT08-TD1-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.10;502
CT08-TCCMP-001;CT08-TCCMP-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.11;502
CT08-TCCMP-002;CT08-TCCMP-002;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.12;502
CT08-TFYA-001;CT08-TFYA-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.13;502
CT08-TUPS-001;CT08-TUPS-001;http:\/\/10.133.50.38:3001\/api\/v2\/generic\/;monitor;;10.26.118.14;502
