device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_pixel_test_board_fail_4(i);offset_pixel_test_board_fail_5(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
S1TS-CLV-016;S1TS-CLV-016;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11202;11204;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11208;11207;11200;11200
S1TS-CLV-017;S1TS-CLV-017;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11211;11213;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11217;11216;11209;11209
S1TS-CLV-018;S1TS-CLV-018;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11220;11222;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11226;11225;11218;11218
S1TS-CLV-019;S1TS-CLV-019;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11229;11231;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11235;11234;11227;11227
S1TS-CLV-020;S1TS-CLV-020;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11238;11240;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11244;11243;11236;11236
S1TS-CLV-021;S1TS-CLV-021;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11247;11249;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11253;11252;11245;11245
S1TS-CLV-025;S1TS-CLV-025;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11256;11258;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11262;11261;11254;11254
S1TS-CLV-026;S1TS-CLV-026;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11265;11267;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11271;11270;11263;11263
S1TS-CLV-027;S1TS-CLV-027;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11274;11276;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11280;11279;11272;11272
SAEB-CLV-001;SAEB-CLV-001;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11283;11285;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11289;11288;11281;11281
SAEB-CLV-002;SAEB-CLV-002;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11292;11294;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11298;11297;11290;11290
SAEB-CLV-003;SAEB-CLV-003;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11301;11303;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11307;11306;11299;11299
S1TS-CLV-022;S1TS-CLV-022;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11310;11312;11309;11309;11309;11309;11309;11309;11309;11309;11309;11309;11309;11316;11315;11308;11308
S1TS-CLV-023;S1TS-CLV-023;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11319;11321;11318;11318;11318;11318;11318;11318;11318;11318;11318;11318;11318;11325;11324;11317;11317
S1TS-CLV-024;S1TS-CLV-024;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11328;11330;11327;11327;11327;11327;11327;11327;11327;11327;11327;11327;11327;11334;11333;11326;11326
S1TS-CLV-028;S1TS-CLV-028;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11337;11339;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11343;11342;11335;11335
S1TS-CLV-029;S1TS-CLV-029;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11346;11348;11345;11345;11345;11345;11345;11345;11345;11345;11345;11345;11345;11352;11351;11344;11344
S1TS-CLV-030;S1TS-CLV-030;CT03_PLC_E;10.133.50.37;28019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11355;11357;11354;11354;11354;11354;11354;11354;11354;11354;11354;11354;11354;11361;11360;11353;11353
