device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_luminosity(i);offset_alarm_sensor(i);offset_broken_thread(i)
INKP-LUX-001;INKP-LUX-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_G;10.133.50.37;28035;monitor;;15803;15801;15801
S2TN-LUX-001;S2TN-LUX-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_G;10.133.50.37;28035;monitor;;15818;15816;15816
S2TS-LUX-001;S2TS-LUX-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_G;10.133.50.37;28035;monitor;;15833;15831;15831
S2TS-LUX-002;S2TS-LUX-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT05_PLC_G;10.133.50.37;28035;monitor;;15848;15846;15846
