device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_pixel_test_board_fail_4(i);offset_pixel_test_board_fail_5(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
ICCP-CLV-001;ICCP-CLV-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11202;11204;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11208;11207;11200;11200
S2TS-CLV-061;S2TS-CLV-061;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11211;11213;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11217;11216;11209;11209
S2TS-CLV-062;S2TS-CLV-062;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11220;11222;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11226;11225;11218;11218
S2TS-CLV-063;S2TS-CLV-063;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11229;11231;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11235;11234;11227;11227
S2TN-CLV-014;S2TN-CLV-014;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11238;11240;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11244;11243;11236;11236
S2TN-CLV-015;S2TN-CLV-015;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11247;11249;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11253;11252;11245;11245
S2TN-CLV-016;S2TN-CLV-016;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11256;11258;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11262;11261;11254;11254
S2TS-CLV-064;S2TS-CLV-064;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11265;11267;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11271;11270;11263;11263
S2TS-CLV-065;S2TS-CLV-065;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11274;11276;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11280;11279;11272;11272
S2TS-CLV-066;S2TS-CLV-066;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11283;11285;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11289;11288;11281;11281
S2TN-CLV-010;S2TN-CLV-010;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11292;11294;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11298;11297;11290;11290
S2TN-CLV-011;S2TN-CLV-011;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11301;11303;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11307;11306;11299;11299
S2TN-CLV-012;S2TN-CLV-012;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11310;11312;11309;11309;11309;11309;11309;11309;11309;11309;11309;11309;11309;11316;11315;11308;11308
S2TS-CLV-067;S2TS-CLV-067;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11319;11321;11318;11318;11318;11318;11318;11318;11318;11318;11318;11318;11318;11325;11324;11317;11317
S2TS-CLV-068;S2TS-CLV-068;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11328;11330;11327;11327;11327;11327;11327;11327;11327;11327;11327;11327;11327;11334;11333;11326;11326
S2TS-CLV-069;S2TS-CLV-069;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11337;11339;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11336;11343;11342;11335;11335
S2TN-CLV-007;S2TN-CLV-007;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11346;11348;11345;11345;11345;11345;11345;11345;11345;11345;11345;11345;11345;11352;11351;11344;11344
S2TN-CLV-008;S2TN-CLV-008;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11355;11357;11354;11354;11354;11354;11354;11354;11354;11354;11354;11354;11354;11361;11360;11353;11353
S2TN-CLV-009;S2TN-CLV-009;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11364;11366;11363;11363;11363;11363;11363;11363;11363;11363;11363;11363;11363;11370;11369;11362;11362
S2TS-CLV-070;S2TS-CLV-070;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11373;11375;11372;11372;11372;11372;11372;11372;11372;11372;11372;11372;11372;11379;11378;11371;11371
S2TS-CLV-071;S2TS-CLV-071;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11382;11384;11381;11381;11381;11381;11381;11381;11381;11381;11381;11381;11381;11388;11387;11380;11380
S2TS-CLV-072;S2TS-CLV-072;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11391;11393;11390;11390;11390;11390;11390;11390;11390;11390;11390;11390;11390;11397;11396;11389;11389
S2TS-CLV-073;S2TS-CLV-073;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11400;11402;11399;11399;11399;11399;11399;11399;11399;11399;11399;11399;11399;11406;11405;11398;11398
S2TN-CLV-004;S2TN-CLV-004;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11409;11411;11408;11408;11408;11408;11408;11408;11408;11408;11408;11408;11408;11415;11414;11407;11407
S2TN-CLV-005;S2TN-CLV-005;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11418;11420;11417;11417;11417;11417;11417;11417;11417;11417;11417;11417;11417;11424;11423;11416;11416
S2TN-CLV-006;S2TN-CLV-006;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11427;11429;11426;11426;11426;11426;11426;11426;11426;11426;11426;11426;11426;11433;11432;11425;11425
S2TS-CLV-074;S2TS-CLV-074;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11436;11438;11435;11435;11435;11435;11435;11435;11435;11435;11435;11435;11435;11442;11441;11434;11434
S2TS-CLV-075;S2TS-CLV-075;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11445;11447;11444;11444;11444;11444;11444;11444;11444;11444;11444;11444;11444;11451;11450;11443;11443
S2TS-CLV-076;S2TS-CLV-076;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11454;11456;11453;11453;11453;11453;11453;11453;11453;11453;11453;11453;11453;11460;11459;11452;11452
S2TN-CLV-001;S2TN-CLV-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11463;11465;11462;11462;11462;11462;11462;11462;11462;11462;11462;11462;11462;11469;11468;11461;11461
S2TN-CLV-002;S2TN-CLV-002;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11472;11474;11471;11471;11471;11471;11471;11471;11471;11471;11471;11471;11471;11478;11477;11470;11470
S2TN-CLV-003;S2TN-CLV-003;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11481;11483;11480;11480;11480;11480;11480;11480;11480;11480;11480;11480;11480;11487;11486;11479;11479
S2TS-CLV-077;S2TS-CLV-077;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11490;11492;11489;11489;11489;11489;11489;11489;11489;11489;11489;11489;11489;11496;11495;11488;11488
S2TS-CLV-078;S2TS-CLV-078;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11499;11501;11498;11498;11498;11498;11498;11498;11498;11498;11498;11498;11498;11505;11504;11497;11497
S2TS-CLV-079;S2TS-CLV-079;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11508;11510;11507;11507;11507;11507;11507;11507;11507;11507;11507;11507;11507;11514;11513;11506;11506
