device_name;equip_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_opac_concentration(i);offset_opac_out_of_range(i);offset_opac_broken_thread(i);offset_equipment_fail(i);offset_temperature_out_of_range(i);offset_temperature_broken_thread(i)
S1TS-SAM-OP-003;S1TS-SAM-003;S1TS-SAM-OP-003;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15003;15001;15001;15001;15001;15001
S1TS-SAM-OP-004;S1TS-SAM-004;S1TS-SAM-OP-004;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15043;15041;15041;15041;15041;15041
