device_name;session_uid;ct_upd;upd_state;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_bie_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i)
SIGO-BIE-001;SIGO-BIE-001;PLC_CT04;upd_fail_1es3_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22801;22801;22801
SIGO-BIE-003;SIGO-BIE-003;PLC_CT04;upd_fail_sigo;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22811;22811;22811
SIGO-BIE-005;SIGO-BIE-005;PLC_CT04;upd_fail_sigo;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22821;22821;22821
SVIP-BIE-001;SVIP-BIE-001;PLC_CT04;upd_fail_svip;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22831;22831;22831
SVIP-BIE-003;SVIP-BIE-003;PLC_CT04;upd_fail_svip;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22841;22841;22841
S1TS-BIE-044;S1TS-BIE-044;PLC_CT04;upd_fail_1es2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22851;22851;22851
S1TS-BIE-046;S1TS-BIE-046;PLC_CT04;upd_fail_1es3_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22861;22861;22861
S1TN-BIE-001;S1TN-BIE-001;PLC_CT04;upd_fail_1es3_1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22871;22871;22871
S1TS-BIE-048;S1TS-BIE-048;PLC_CT04;upd_fail_1es3_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22881;22881;22881
S1TN-BIE-003;S1TN-BIE-003;PLC_CT04;upd_fail_1es3_1;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22891;22891;22891
S1TS-BIE-050;S1TS-BIE-050;PLC_CT04;upd_fail_1es3_2;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT04_PLC_B;10.133.50.37;28023;monitor;;22901;22901;22901
