device_name;deteccion_lazo;host;port(i);url_publisher;session_uid;bit_fail(i);offset_fail(i)
CT06-CCI-001.Z4SIR1;CT06-CCI-001;10.75.116.6;502;http://10.133.50.38:3001/api/v2/generic/;CT06-CCI-001.Z4SIR1;2;28686
CT06-CCI-001.Z5SIR1;CT06-CCI-001;10.75.116.6;502;http://10.133.50.38:3001/api/v2/generic/;CT06-CCI-001.Z5SIR1;2;28689
CT07-CCI-001.Z1SIR1;CT07-CCI-001;10.75.117.6;502;http://10.133.50.38:3001/api/v2/generic/;CT07-CCI-001.Z1SIR1;2;28672
CT07-CCI-001.Z2SIR1;CT07-CCI-001;10.75.117.6;502;http://10.133.50.38:3001/api/v2/generic/;CT07-CCI-001.Z2SIR1;2;28676
CT07-CCI-001.Z2SIR2;CT07-CCI-001;10.75.117.6;502;http://10.133.50.38:3001/api/v2/generic/;CT07-CCI-001.Z2SIR2;2;28681
CT07-CCI-001.Z3SIR1;CT07-CCI-001;10.75.117.6;502;http://10.133.50.38:3001/api/v2/generic/;CT07-CCI-001.Z3SIR1;2;28686
CT08-CCI-001.Z1SIR1;CT08-CCI-001;10.75.118.6;502;http://10.133.50.38:3001/api/v2/generic/;CT08-CCI-001.Z1SIR1;2;28675
CT08-CCI-001.Z2SIR1;CT08-CCI-001;10.75.118.6;502;http://10.133.50.38:3001/api/v2/generic/;CT08-CCI-001.Z2SIR1;2;28678
CT08-CCI-001.Z3SIR1;CT08-CCI-001;10.75.118.6;502;http://10.133.50.38:3001/api/v2/generic/;CT08-CCI-001.Z3SIR1;2;28683
CT08-CCI-001.Z4SIR1;CT08-CCI-001;10.75.118.6;502;http://10.133.50.38:3001/api/v2/generic/;CT08-CCI-001.Z4SIR1;2;28685
