device_name;session_uid;ct_upd;upd_state;plc_name;host;port(i);url_publisher;offset_state_prot(i);bit_state_prot(i);offset_cmd(i);offset_state(i)
AL.SE4-P1;AL.SE4-P1;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;0;22741;22736
AL.SE4-P2;AL.SE4-P2;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;1;22741;22736
AL.SE4-P3;AL.SE4-P3;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;2;22741;22736
AL.SE4-P4;AL.SE4-P4;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;3;22741;22736
AL.SE4-P5;AL.SE4-P5;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;4;22741;22736
AL.SE4-P6;AL.SE4-P6;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;5;22741;22736
AL.SE4-P7;AL.SE4-P7;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;6;22741;22736
AL.SE4-P8;AL.SE4-P8;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;7;22741;22736
AL.SE4-P9;AL.SE4-P9;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;8;22741;22736
AL.SE4-P10;AL.SE4-P10;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;9;22741;22736
AL.SE4-P11;AL.SE4-P11;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;10;22741;22736
AL.SE4.2-P1;AL.SE4.2-P1;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;11;22741;22736
AL.SE4.2-P2;AL.SE4.2-P2;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;12;22741;22736
AL.SE4.2-P3;AL.SE4.2-P3;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;13;22741;22736
AL.SE4.2-P4;AL.SE4.2-P4;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;14;22741;22736
AL.SE4.2-P5;AL.SE4.2-P5;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22738;15;22741;22736
AL.SE4.2-P6;AL.SE4.2-P6;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;0;22741;22736
AL.SE4.2-P7;AL.SE4.2-P7;PLC_CT04;upd_fail_ct04_2;CT04_PLC_G;10.133.50.37;28028;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22739;1;22741;22736
