device_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_wind_speed(i);offset_sensor_out_of_range(i);offset_wind_direction(i);offset_broken_thread_sensor(i)
S2TS-ANE-008;S2TS-ANE-008;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15503;15501;15500;15501
S2TN-ANE-009;S2TN-ANE-009;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15522;15520;15519;15520
S2TS-ANE-009;S2TS-ANE-009;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15541;15539;15538;15539
S2TN-ANE-010;S2TN-ANE-010;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15560;15558;15557;15558
S2TS-ANE-010;S2TS-ANE-010;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15579;15577;15576;15577
