device_name;equip_name;session_uid;PLC_name;PLC_ip;PLC_port(i);url_publisher;read_permission;write_permission;offset_no_concentration(i);offset_no_out_of_range(i);offset_no_broken_thread(i);offset_equipment_fail(i);offset_temperature_out_of_range(i);offset_temperature_broken_thread(i)
S1TS-SAM-NO-005;S1TS-SAM-005;S1TS-SAM-NO-005;CT04_PLC_D;10.133.50.37;28025;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S2TN-SAM-NO-001;S2TN-SAM-001;S2TN-SAM-NO-001;CT04_PLC_D;10.133.50.37;28025;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TN-SAM-NO-002;S2TN-SAM-002;S2TN-SAM-NO-002;CT04_PLC_D;10.133.50.37;28025;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15085;15081;15081;15081;15081;15081
SCNO-SAM-NO-001;SCNO-SAM-001;SCNO-SAM-NO-001;CT02_PLC_D;10.133.50.37;28011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
SCNO-SAM-NO-002;SCNO-SAM-002;SCNO-SAM-NO-002;CT02_PLC_D;10.133.50.37;28011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S1TS-SAM-NO-001;S1TS-SAM-001;S1TS-SAM-NO-001;CT02_PLC_D;10.133.50.37;28011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15085;15081;15081;15081;15081;15081
S1TS-SAM-NO-002;S1TS-SAM-002;S1TS-SAM-NO-002;CT02_PLC_D;10.133.50.37;28011;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15125;15121;15121;15121;15121;15121
S1TS-SAM-NO-003;S1TS-SAM-003;S1TS-SAM-NO-003;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S1TS-SAM-NO-004;S1TS-SAM-004;S1TS-SAM-NO-004;CT03_PLC_D;10.133.50.37;28018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TS-SAM-NO-001;S2TS-SAM-001;S2TS-SAM-NO-001;CT05_PLC_D;10.133.50.37;28032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S2TS-SAM-NO-002;S2TS-SAM-002;S2TS-SAM-NO-002;CT05_PLC_D;10.133.50.37;28032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TN-SAM-NO-003;S2TN-SAM-003;S2TN-SAM-NO-003;CT05_PLC_D;10.133.50.37;28032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15085;15081;15081;15081;15081;15081
S2TS-SAM-NO-004;S2TS-SAM-004;S2TS-SAM-NO-004;CT05_PLC_D;10.133.50.37;28032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15125;15121;15121;15121;15121;15121
S2TN-SAM-NO-005;S2TN-SAM-005;S2TN-SAM-NO-005;CT05_PLC_D;10.133.50.37;28032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15165;15161;15161;15161;15161;15161
S2TN-SAM-NO-006;S2TN-SAM-006;S2TN-SAM-NO-006;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S2TS-SAM-NO-005;S2TS-SAM-005;S2TS-SAM-NO-005;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TN-SAM-NO-007;S2TN-SAM-007;S2TN-SAM-NO-007;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15085;15081;15081;15081;15081;15081
S2TS-SAM-NO-006;S2TS-SAM-006;S2TS-SAM-NO-006;CT06_PLC_D;10.133.50.37;28039;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15125;15121;15121;15121;15121;15121
S2TS-SAM-NO-007;S2TS-SAM-007;S2TS-SAM-NO-007;CT07_PLC_D;10.133.50.37;28046;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S2TN-SAM-NO-008;S2TN-SAM-008;S2TN-SAM-NO-008;CT07_PLC_D;10.133.50.37;28046;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TS-SAM-NO-008;S2TS-SAM-008;S2TS-SAM-NO-008;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15005;15001;15001;15001;15001;15001
S2TN-SAM-NO-009;S2TN-SAM-009;S2TN-SAM-NO-009;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15045;15041;15041;15041;15041;15041
S2TS-SAM-NO-009;S2TS-SAM-009;S2TS-SAM-NO-009;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15085;15081;15081;15081;15081;15081
S2TN-SAM-NO-010;S2TN-SAM-010;S2TN-SAM-NO-010;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15125;15121;15121;15121;15121;15121
S2TS-SAM-NO-010;S2TS-SAM-010;S2TS-SAM-NO-010;CT08_PLC_D;10.133.50.37;28053;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;15165;15161;15161;15161;15161;15161
