device_name;session_uid;plc_name;host;port(i);url_publisher;offset_state(i);offset_cmd(i)
AL.SE3-S1;AL.SE3-S1;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S2;AL.SE3-S2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S3;AL.SE3-S3;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S4;AL.SE3-S4;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S5;AL.SE3-S5;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S6;AL.SE3-S6;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S7;AL.SE3-S7;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S8;AL.SE3-S8;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S9;AL.SE3-S9;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S10;AL.SE3-S10;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-S11;AL.SE3-S11;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22730;22735
AL.SE3-P1;AL.SE3-P1;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P2;AL.SE3-P2;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P3;AL.SE3-P3;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P4;AL.SE3-P4;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P5;AL.SE3-P5;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P6;AL.SE3-P6;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P7;AL.SE3-P7;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P8;AL.SE3-P8;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P9;AL.SE3-P9;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P10;AL.SE3-P10;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P11;AL.SE3-P11;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P12;AL.SE3-P12;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P13;AL.SE3-P13;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P14;AL.SE3-P14;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P15;AL.SE3-P15;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
AL.SE3-P16;AL.SE3-P16;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22736;22741
CT03-EMR-001;CT03-EMR-001;CT03_PLC_G;10.133.50.37;28021;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;22742;22747
