item;stretch_type;alias;description;sessionuid;pk_ini;pk_end;lanes;road
1010;IncidentReport;D4_MDJS406P_16+964;D4_MDJS406P_16+964;D4_MDJS406P_16+964;0;0;;D4
1011;IncidentReport;D4_MZJS402P_18+838;D4_MZJS402P_18+838;D4_MZJS402P_18+838;0;0;;D4
1012;IncidentReport;D4_MDJS407P_20+453;D4_MDJS407P_20+453;D4_MDJS407P_20+453;0;0;;D4
1013;IncidentReport;D4_MZJS496P_23+852;D4_MZJS496P_23+852;D4_MZJS496P_23+852;0;0;;D4
1014;IncidentReport;D4_MDJS408P_24+267;D4_MDJS408P_24+267;D4_MDJS408P_24+267;0;0;;D4
1015;IncidentReport;D4_MDSR409L_27+111;D4_MDSR409L_27+111;D4_MDSR409L_27+111;0;0;;D4
1016;IncidentReport;D4_MZSR403P_29+006;D4_MZSR403P_29+006;D4_MZSR403P_29+006;0;0;;D4
2000;IncidentReport;D4_NRLJS495LB_2+940;D4_NRLJS495LB_2+940;D4_NRLJS495LB_2+940;0;0;;D4
2001;IncidentReport;D4_NRLJS497L_1+965;D4_NRLJS497L_1+965;D4_NRLJS497L_1+965;0;0;;D4
2002;IncidentReport;D4_NRLJS494L_3+793;D4_NRLJS494L_3+793;D4_NRLJS494L_3+793;0;0;;D4
2003;IncidentReport;D4_NRLJS492L_5+148;D4_NRLJS492L_5+148;D4_NRLJS492L_5+148;0;0;;D4
2004;IncidentReport;D4_NRLJS491L_6+438;D4_NRLJS491L_6+438;D4_NRLJS491L_6+438;0;0;;D4
2005;IncidentReport;D4_NRLJS490L_7+894;D4_NRLJS490L_7+894;D4_NRLJS490L_7+894;0;0;;D4
2006;IncidentReport;D4_NRLJS488L_9+177;D4_NRLJS488L_9+177;D4_NRLJS488L_9+177;0;0;;D4
2007;IncidentReport;D4_NRLJS487L_10+332;D4_NRLJS487L_10+332;D4_NRLJS487L_10+332;0;0;;D4
2008;IncidentReport;D4_NRLJS485L_11+136;D4_NRLJS485L_11+136;D4_NRLJS485L_11+136;0;0;;D4
2009;IncidentReport;D4_NRLJS484L_12+089;D4_NRLJS484L_12+089;D4_NRLJS484L_12+089;0;0;;D4
2010;IncidentReport;D4_NRLJS482L_13+319;D4_NRLJS482L_13+319;D4_NRLJS482L_13+319;0;0;;D4
2011;IncidentReport;D4_NRLJS481L_14+488;D4_NRLJS481L_14+488;D4_NRLJS481L_14+488;0;0;;D4
2012;IncidentReport;D4_NRLJS480L_15+688;D4_NRLJS480L_15+688;D4_NRLJS480L_15+688;0;0;;D4
2013;IncidentReport;D4_NRLJS478L_16+963;D4_NRLJS478L_16+963;D4_NRLJS478L_16+963;0;0;;D4
2014;IncidentReport;D4_NRLJS477L_18+038;D4_NRLJS477L_18+038;D4_NRLJS477L_18+038;0;0;;D4
2015;IncidentReport;D4_NRLJS476L_19+563;D4_NRLJS476L_19+563;D4_NRLJS476L_19+563;0;0;;D4
2016;IncidentReport;D4_NRLJS473L_1+412_BV_LK;D4_NRLJS473L_1+412_BV_LK;D4_NRLJS473L_1+412_BV_LK;0;0;;D4
2017;IncidentReport;D4_NRLJS472L_1+227_BV_LK;D4_NRLJS472L_1+227_BV_LK;D4_NRLJS472L_1+227_BV_LK;0;0;;D4
2018;IncidentReport;D4_NRLJS470L_0+562_BV_LK;D4_NRLJS470L_0+562_BV_LK;D4_NRLJS470L_0+562_BV_LK;0;0;;D4
2019;IncidentReport;D4_NRLJS469L_24+613;D4_NRLJS469L_24+613;D4_NRLJS469L_24+613;0;0;;D4
2020;IncidentReport;D4_NRLJS467L_25+688;D4_NRLJS467L_25+688;D4_NRLJS467L_25+688;0;0;;D4
2021;IncidentReport;D4_NRLJS466L_26+361;D4_NRLJS466L_26+361;D4_NRLJS466L_26+361;0;0;;D4
2022;IncidentReport;D4_NRLJS464L_27+113;D4_NRLJS464L_27+113;D4_NRLJS464L_27+113;0;0;;D4
2023;IncidentReport;D4_NRLJS463L_28+328;D4_NRLJS463L_28+328;D4_NRLJS463L_28+328;0;0;;D4
3000;IncidentReport;D4_NRLJS406P_5+148;D4_NRLJS406P_5+148;D4_NRLJS406P_5+148;0;0;;D4
3001;IncidentReport;D4_NRLJS405P_4+165;D4_NRLJS405P_4+165;D4_NRLJS405P_4+165;0;0;;D4
3002;IncidentReport;D4_NRLJS404P_3+188;D4_NRLJS404P_3+188;D4_NRLJS404P_3+188;0;0;;D4
3003;IncidentReport;D4_NRLJS407P_9+438;D4_NRLJS407P_9+438;D4_NRLJS407P_9+438;0;0;;D4
3004;IncidentReport;D4_NRLJS408P_7+558;D4_NRLJS408P_7+558;D4_NRLJS408P_7+558;0;0;;D4
3005;IncidentReport;D4_NRLJS410P_8+675;D4_NRLJS410P_8+675;D4_NRLJS410P_8+675;0;0;;D4
3006;IncidentReport;D4_NRLJS412P_9+990;D4_NRLJS412P_9+990;D4_NRLJS412P_9+990;0;0;;D4
3007;IncidentReport;D4_NRLJS414P_10+907;D4_NRLJS414P_10+907;D4_NRLJS414P_10+907;0;0;;D4
3008;IncidentReport;D4_NRLJS415P_11+886;D4_NRLJS415P_11+886;D4_NRLJS415P_11+886;0;0;;D4
3009;IncidentReport;D4_NRLJS416P_12+739;D4_NRLJS416P_12+739;D4_NRLJS416P_12+739;0;0;;D4
3010;IncidentReport;D4_NRLJS418P_14+063;D4_NRLJS418P_14+063;D4_NRLJS418P_14+063;0;0;;D4
3011;IncidentReport;D4_NRLJS419P_15+268;D4_NRLJS419P_15+268;D4_NRLJS419P_15+268;0;0;;D4
3012;IncidentReport;D4_NRLJS420P_16+363;D4_NRLJS420P_16+363;D4_NRLJS420P_16+363;0;0;;D4
3013;IncidentReport;D4_NRLJS422P_17+519;D4_NRLJS422P_17+519;D4_NRLJS422P_17+519;0;0;;D4
3014;IncidentReport;D4_NRLJS423P_19+013;D4_NRLJS423P_19+013;D4_NRLJS423P_19+013;0;0;;D4
3015;IncidentReport;D4_NRLJS424P_20+452;D4_NRLJS424P_20+452;D4_NRLJS424P_20+452;0;0;;D4
3016;IncidentReport;D4_NRLJS425P_21+913;D4_NRLJS425P_21+913;D4_NRLJS425P_21+913;0;0;;D4
3017;IncidentReport;D4_NRLJS426P_23+406;D4_NRLJS426P_23+406;D4_NRLJS426P_23+406;0;0;;D4
3018;IncidentReport;D4_NRLJS426P_2_23+406;D4_NRLJS426P_2_23+406;D4_NRLJS426P_2_23+406;0;0;;D4
3019;IncidentReport;D4_NRLJS428P_24+263;D4_NRLJS428P_24+263;D4_NRLJS428P_24+263;0;0;;D4
3020;IncidentReport;D4_NRLJS431P_25+130;D4_NRLJS431P_25+130;D4_NRLJS431P_25+130;0;0;;D4
3021;IncidentReport;D4_NRLJS432P_25+685;D4_NRLJS431P_25+685;D4_NRLJS432P_25+685;0;0;;D4
3022;IncidentReport;D4_NRLJS434P_27+015;D4_NRLJS431P_27+015;D4_NRLJS434P_27+015;0;0;;D4
