item;stretch_type;alias;description;sessionuid;pk_ini;pk_end;lanes;road
1;Element;D4_1:Jarovce-Rusovce;D4_1:Jarovce-Rusovce;D4_1:Jarovce-Rusovce;0;0;0;D4
2;Element;D4_2:Rusovce-Ketelec;D4_2:Rusovce-Ketelec;D4_2:Rusovce-Ketelec;0;0;0;D4
3;Element;D4_3:Ketelec-Rovinca;D4_3:Ketelec-Rovinca;D4_3:Ketelec-Rovinca;0;0;0;D4
4;Element;D4_4:Rovinka-Pod.Biskupice;D4_4:Rovinka-Pod.Biskupice;D4_4:Rovinka-Pod.Biskupice;0;0;0;D4
5;Element;D4_5:Pod.Biskupice-Ivanka západ;D4_5:Pod.Biskupice-Ivanka západ;D4_5:Pod.Biskupice-Ivanka západ;0;0;0;D4
6;Element;D4_6:Ivanka západ-Ivanka sever;D4_6:Ivanka západ-Ivanka sever;D4_6:Ivanka západ-Ivanka sever;0;0;0;D4
7;Element;D4_7:Ivanka sever-Cierna voda;D4_7:Ivanka sever-Cierna voda;D4_7:Ivanka sever-Cierna voda;0;0;0;D4
8;Element;D4_8:Cierna voda-Raca;D4_8:Cierna voda-Raca;D4_8:Cierna voda-Raca;0;0;0;D4
9;Element;R7_1:Prievoz-Ketelec;R7_1:Prievoz-Ketelec;R7_1:Prievoz-Ketelec;0;0;0;R7
10;Element;R7_2:Ketelec-Dunajská Lužná;R7_2:Ketelec-Dunajská Lužná;R7_2:Ketelec-Dunajská Lužná;0;0;0;R7
11;Element;R7_3:Dunajská Lužná-Šamorín;R7_3:Dunajská Lužná-Šamorín;R7_3:Dunajská Lužná-Šamorín;0;0;0;R7
12;Element;R7_4:Šamorín-Holice;R7_4:Šamorín-Holice;R7_4:Šamorín-Holice;0;0;0;R7
13;Element;R7_5:Dunajská Lužná-Holice;R7_5:Dunajská Lužná-Holice;R7_5:Dunajská Lužná-Holice;0;0;0;R7
14;Element;D2_1:Jarovce-Budapest;D2_1:Jarovce-Budapest;D2_1:Jarovce-Budapest;0;0;0;D2
15;Element;D2_2:Jarovce-Brno;D2_2:Jarovce-Brno;D2_2:Jarovce-Brno;0;0;0;D2
1000;IncidentReport;MD247_72+503;MD247_72+503;MD247_72+503;0;0;;D2
1001;IncidentReport;D4_MDJS401L_2+936;D4_MDJS401L_2+936;D4_MDJS401L_2+936;0;0;;D4
1002;IncidentReport;D4_MZJS499L_3+705;D4_MZJS499L_3+705;D4_MZJS499L_3+705;0;0;;D4
1003;IncidentReport;D4_MDJS402_5+144;D4_MDJS402_5+144;D4_MDJS402_5+144;0;0;;D4
1004;IncidentReport;D4_MZJS498_5+776;D4_MZJS498_5+776;D4_MZJS498_5+776;0;0;;D4
1005;IncidentReport;D4_MZJS497_6+238;D4_MZJS497_6+238;D4_MZJS497_6+238;0;0;;D4
1006;IncidentReport;D4_MDJS403_7+554;D4_MDJS403_7+554;D4_MDJS403_7+554;0;0;;D4
1007;IncidentReport;D4_MDJS404L_10+882;D4_MDJS404L_10+882;D4_MDJS404L_10+882;0;0;;D4
1008;IncidentReport;D4_MZJS496L_12+367;D4_MZJS496L_12+367;D4_MZJS496L_12+367;0;0;;D4
1009;IncidentReport;D4_MDJS405P_14+057;D4_MDJS405P_14+057;D4_MDJS405P_14+057;0;0;;D4
