item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param1_brand;param2_model
1;OP-1-01-CE;OP-1-01-CE;OP-1-01-CE;Autovía A-44;La Cerradura;;Granada;;;
2;OP-2-01-CE;OP-2-01-CE;OP-2-01-CE;Autovía A-44;La Cerradura;;Jaén;;;
