item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;853.TFYA.1.SE1;853.TFYA.1.SE1;853.TFYA.1.SE1;AVO;;Local_Técnico_1;36+920;;620
2;853.TUPS.1.SE1;853.TUPS.1.SE1;853.TUPS.1.SE1;AVO;;Local_Técnico_1;36+920;;620
3;853.TFYA.1.SE2;853.TFYA.1.SE2;853.TFYA.1.SE2;AVO;;Local_Técnico_2;38+048;;1748
4;853.TUPS.1.SE2;853.TUPS.1.SE2;853.TUPS.1.SE2;AVO;;Local_Técnico_2;38+048;;1748
5;853.TFYA.1.SE3;853.TFYA.1.SE3;853.TFYA.1.SE3;AVO;;Local_Técnico_3;39+015;;2715
6;853.TUPS.1.SE3;853.TUPS.1.SE3;853.TUPS.1.SE3;AVO;;Local_Técnico_3;39+015;;2715
7;853.TFYA.1.SE4;853.TFYA.1.SE4;853.TFYA.1.SE4;AVO;;Local_Técnico_4;40+37;;4070
8;853.TUPS.1.SE4;853.TUPS.1.SE4;853.TUPS.1.SE4;AVO;;Local_Técnico_4;40+37;;4070
9;853.TFYA.1.SE5;853.TFYA.1.SE5;853.TFYA.1.SE5;AVO;;Local_Técnico_5;41+415;;5115
10;853.TUPS.1.SE5;853.TUPS.1.SE5;853.TUPS.1.SE5;AVO;;Local_Técnico_5;41+415;;5115
11;853.TFYA.1.SE6;853.TFYA.1.SE6;853.TFYA.1.SE6;AVO;;Local_Técnico_6;42+58;;6280
12;853.TUPS.1.SE6;853.TUPS.1.SE6;853.TUPS.1.SE6;AVO;;Local_Técnico_6;42+58;;6280
13;853.TFYA.1.SE7;853.TFYA.1.SE7;853.TFYA.1.SE7;AVO;;Local_Técnico_7;43+52;;7220
14;853.TUPS.1.SE7;853.TUPS.1.SE7;853.TUPS.1.SE7;AVO;;Local_Técnico_7;43+52;;7220
15;853.TFYA.1.SE8;853.TFYA.1.SE8;853.TFYA.1.SE8;AVO;;Local_Técnico_8;44+52;;8220
16;853.TFYA.1.SE8;853.TFYA.1.SE8;853.TFYA.1.SE8;AVO;;Local_Técnico_8;44+52;;8220
