item;alias;description;sessionuid;road;stretchs;pk;dm;secc;param1_brand;param2_model;param3_entrance_tunnel_distance
1;RM-CAB-001;RM-CAB-001;RM-CAB-001;RUTA-LA-MINA;S1S1;0+002;Asc;S1S1;;;
2;RM-CAB-002;RM-CAB-002;RM-CAB-002;RUTA-LA-MINA;S1S1;2+290;Asc;S1S1;;;
3;RM-CAB-003;RM-CAB-003;RM-CAB-003;RUTA-LA-MINA;S1S1;2+425;Asc;S1S1;;;
4;RM-CAB-004;RM-CAB-004;RM-CAB-004;RUTA-LA-MINA;S1S1;3+540;Asc;S1S1;;;
5;RM-CAB-005;RM-CAB-005;RM-CAB-005;RUTA-LA-MINA;S1S1;3+304;Asc;S1S1;;;
6;RM-CAB-006;RM-CAB-006;RM-CAB-006;RUTA-LA-MINA;S1S1;6+505;Asc;S1S1;;;
7;RM-CAB-007;RM-CAB-007;RM-CAB-007;RUTA-LA-MINA;S1S1;9+605;Asc;S1S1;;;
8;RM-CAB-008;RM-CAB-008;RM-CAB-008;RUTA-LA-MINA;S1S1;17+700;Asc;S1S1;;;
9;RM-CAB-009;RM-CAB-009;RM-CAB-009;RUTA-LA-MINA;S1S1;19+502;Asc;S1S1;;;
10;RM-CAB-010;RM-CAB-010;RM-CAB-010;RUTA-LA-MINA;S1S1;24+697;Asc;S1S1;;;
11;RM-CAB-011;RM-CAB-011;RM-CAB-011;RUTA-LA-MINA;S1S1;39+405;Asc;S1S1;;;
12;RM-CAB-012;RM-CAB-012;RM-CAB-012;RUTA-LA-MINA;S1S1;44+500;Asc;S1S1;;;
13;RM-CAB-013;RM-CAB-013;RM-CAB-013;RUTA-LA-MINA;S1S1;62+405;Asc;S1S1;;;
14;RM-CAB-014;RM-CAB-014;RM-CAB-014;RUTA-LA-MINA;S1S1;62+495;Asc;S1S1;;;
15;RM-CAB-015;RM-CAB-015;RM-CAB-015;RUTA-LA-MINA;S1S1;62+655;Asc;S1S1;;;
16;RM-CAB-016;RM-CAB-016;RM-CAB-016;RUTA-LA-MINA;S1S1;70+005;Asc;S1S1;;;
17;RM-CAB-017;RM-CAB-017;RM-CAB-017;RUTA-LA-MINA;S1S1;74+305;Asc;S1S1;;;
18;RM-CAB-018;RM-CAB-018;RM-CAB-018;RUTA-LA-MINA;S1S1;79+705;Asc;S1S1;;;
19;RM-CAB-019;RM-CAB-019;RM-CAB-019;RUTA-LA-MINA;S1S1;85+005;Asc;S1S1;;;
20;RM-CAB-020;RM-CAB-020;RM-CAB-020;RUTA-LA-MINA;S1S1;91+007;Asc;S1S1;;;
21;RM-CAB-021;RM-CAB-021;RM-CAB-021;RUTA-LA-MINA;S1S1;102+365;Asc;S1S1;;;
22;RM-CAB-022;RM-CAB-022;RM-CAB-022;RUTA-LA-MINA;S1S1;103+705;Asc;S1S1;;;
23;RM-CAB-023;RM-CAB-023;RM-CAB-023;RUTA-LA-MINA;S1S1;106+085;Asc;S1S1;;;
24;RM-CAB-024;RM-CAB-024;RM-CAB-024;RUTA-LA-MINA;S1S1;106+250;Asc;S1S1;;;
25;RM-CAB-025;RM-CAB-025;RM-CAB-025;RUTA-LA-MINA;S1S1;107+005;Asc;S1S1;;;
26;RM-CAB-026;RM-CAB-026;RM-CAB-026;RUTA-LA-MINA;S1S1;114+105;Asc;S1S1;;;
27;RM-CAB-027;RM-CAB-027;RM-CAB-027;RUTA-LA-MINA;S1S1;116+005;Asc;S1S1;;;
28;RM-CAB-028;RM-CAB-028;RM-CAB-028;RUTA-LA-MINA;S1S1;118+505;Asc;S1S1;;;
29;RM-CAB-029;RM-CAB-029;RM-CAB-029;RUTA-LA-MINA;S1S1;119+205;Asc;S1S1;;;
30;RM-CAB-030;RM-CAB-030;RM-CAB-030;RUTA-LA-MINA;S1S1;123+105;Asc;S1S1;;;
31;RM-CAB-031;RM-CAB-031;RM-CAB-031;RUTA-LA-MINA;S1S1;123+405;Asc;S1S1;;;
32;RM-CAB-032;RM-CAB-032;RM-CAB-032;RUTA-LA-MINA;S1S1;125+905;Asc;S1S1;;;
33;RM-CAB-033;RM-CAB-033;RM-CAB-033;RUTA-LA-MINA;S1S1;126+805;Asc;S1S1;;;
34;RM-CAB-034;RM-CAB-034;RM-CAB-034;RUTA-LA-MINA;S1S1;130+035;Asc;S1S1;;;
35;RM-CAB-035;RM-CAB-035;RM-CAB-035;RUTA-LA-MINA;S1S1;130+145;Asc;S1S1;;;
36;RM-CAB-036;RM-CAB-036;RM-CAB-036;RUTA-LA-MINA;S1S1;135+505;Asc;S1S1;;;
37;RM-CAB-037;RM-CAB-037;RM-CAB-037;RUTA-LA-MINA;S1S1;137+003;Asc;S1S1;;;
38;RM-CAB-038;RM-CAB-038;RM-CAB-038;RUTA-LA-MINA;S1S1;137+240;Asc;S1S1;;;
39;RM-CAB-039;RM-CAB-039;RM-CAB-039;RUTA-LA-MINA;S1S1;137+445;Asc;S1S1;;;
