item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm
1;1;PLC_CT01;PLC_CT01;PLC_CT01;AVO;Secc.01-10-01;;36+920;620
2;1;PLC_CT02;PLC_CT02;PLC_CT02;AVO;Secc.01-10-02;;38+048;1748
3;1;PLC_CT03;PLC_CT03;PLC_CT03;AVO;Secc.01-10-03;;39+015;2715
4;1;PLC_CT04;PLC_CT04;PLC_CT04;AVO;Secc.02-10-04;;40+370;4070
5;1;PLC_CT05;PLC_CT05;PLC_CT05;AVO;Secc.03-11-11;;41+415;5115
6;1;PLC_CT06;PLC_CT06;PLC_CT06;AVO;Secc.03-11-10;;42+580;6280
7;1;PLC_CT07;PLC_CT07;PLC_CT07;AVO;Secc.03-11-11;;43+520;7220
8;1;PLC_CT08;PLC_CT08;PLC_CT08;AVO;Secc.02-10-07;;44+520;8220
