item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay
1;DET-1-ETD-1;DET-1-ETD-1;DET-1-ETD-1;Autovía;MEXICO;;N/A;true;1;0;0
2;DET-2-ETD-1;DET-2-ETD-1;DET-2-ETD-1;Autovía;MEXICO;;N/A;true;2;0;0
3;DET-3-ETD-1;DET-3-ETD-1;DET-3-ETD-1;Autovía;MEXICO;;N/A;true;3;0;0
4;DET-4-ETD-1;DET-4-ETD-1;DET-4-ETD-1;Autovía;MEXICO;;N/A;true;4;0;0
5;DET-5-ETD-1;DET-5-ETD-1;DET-5-ETD-1;Autovía;MEXICO;;N/A;true;5;0;0
6;DET-6-ETD-1;DET-6-ETD-1;DET-6-ETD-1;Autovía;MEXICO;;N/A;true;6;0;0
7;DET-1-ETD-2;DET-1-ETD-2;DET-1-ETD-2;Autovía;MEXICO;;N/A;true;1;0;0
8;DET-2-ETD-2;DET-2-ETD-2;DET-2-ETD-2;Autovía;MEXICO;;N/A;true;2;0;0
9;DET-3-ETD-2;DET-3-ETD-2;DET-3-ETD-2;Autovía;MEXICO;;N/A;true;3;0;0
10;DET-1-ETD-3;DET-1-ETD-3;DET-1-ETD-3;Autovía;MEXICO;;N/A;true;1;0;0
11;DET-2-ETD-3;DET-2-ETD-3;DET-2-ETD-3;Autovía;MEXICO;;N/A;true;2;0;0
12;DET-3-ETD-3;DET-3-ETD-3;DET-3-ETD-3;Autovía;MEXICO;;N/A;true;3;0;0
13;DET-1-ETD-4;DET-1-ETD-4;DET-1-ETD-4;Autovía;MEXICO;;N/A;true;1;0;0
14;DET-2-ETD-4;DET-2-ETD-4;DET-2-ETD-4;Autovía;MEXICO;;N/A;true;2;0;0
15;DET-3-ETD-4;DET-3-ETD-4;DET-3-ETD-4;Autovía;MEXICO;;N/A;true;3;0;0
16;DET-4-ETD-4;DET-4-ETD-4;DET-4-ETD-4;Autovía;MEXICO;;N/A;true;4;0;0
17;DET-5-ETD-4;DET-5-ETD-4;DET-5-ETD-4;Autovía;MEXICO;;N/A;true;5;0;0
18;DET-6-ETD-4;DET-6-ETD-4;DET-6-ETD-4;Autovía;MEXICO;;N/A;true;6;0;0
