device_name;url_publisher;source_name;host;port(i);offset_dai_alarm(i)
TVI-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;21
TVI-1-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-02-DP;192.168.88.201;5040;22
TVI-1-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;21
TVI-1-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-03-DP;192.168.88.201;5050;22
TVI-1-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-DP;192.168.88.201;5070;0
TVI-1-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-DP;192.168.88.201;5070;1
TVI-1-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;21
TVI-1-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-DP;192.168.88.201;5080;22
TVI-1-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-DP;192.168.88.201;5100;0
TVI-1-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-DP;192.168.88.201;5100;1
TVI-1-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-07-DP;192.168.88.201;5110;0
TVI-1-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-07-DP;192.168.88.201;5110;1
TVI-1-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;21
TVI-1-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-08-DP;192.168.88.201;5130;22
TVI-1-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;21
TVI-1-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-09-DP;192.168.88.201;5140;22
TVI-1-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-10-DP;192.168.88.201;5160;0
TVI-1-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-10-DP;192.168.88.201;5160;1
TVI-1-19-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-10-B-DP;192.168.88.201;5170;0
TVI-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;21
TVI-2-02-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-12-DP;192.168.88.201;5180;22
TVI-2-03-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;21
TVI-2-04-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-13-DP;192.168.88.201;5190;22
TVI-2-05-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-14-DP;192.168.88.201;5200;0
TVI-2-06-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-14-DP;192.168.88.201;5200;1
TVI-2-07-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;21
TVI-2-08-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-15-DP;192.168.88.201;5210;22
TVI-2-09-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-16-DP;192.168.88.201;5220;0
TVI-2-10-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-16-DP;192.168.88.201;5220;1
TVI-2-11-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-17-DP;192.168.88.201;5230;0
TVI-2-12-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-17-DP;192.168.88.201;5230;1
TVI-2-13-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;21
TVI-2-14-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-19-DP;192.168.88.201;5250;22
TVI-2-15-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-B-DP;192.168.88.201;5270;0
TVI-2-16-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-B-DP;192.168.88.201;5270;1
TVI-2-17-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;21
TVI-2-18-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-20-DP;192.168.88.201;5260;22
TVI-2-19-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-21-DP;192.168.88.201;5280;0
TVI-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;21
TVI-1-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-04-CA;192.168.88.201;5320;22
TVI-2-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;21
TVI-2-02-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-06-CA;192.168.88.201;5340;22
