device_name;url_publisher;host;port(i)
PMV-2-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.201;4001
PMV-1-01-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.201;4002
PMV-1-01-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.201;4003
