PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i)
IDNG-MG-DP;LUMI-EMER-E1-4F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;19908;19909;19909;19909;19909;19909;19909;19910;19911;19912;19912;19912;19912;19912;19913
IDNG-MG-DP;LUMI-EMER-E1-44-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;19940;19941;19941;19941;19941;19941;19941;19942;19943;19944;19944;19944;19944;19944;19945
IDNG-MG-DP;LUMI-EMER-E1-5F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;19972;19973;19973;19973;19973;19973;19973;19974;19975;19976;19976;19976;19976;19976;19977
IDNG-MG-DP;LUMI-EMER-E1-32-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20004;20005;20005;20005;20005;20005;20005;20006;20007;20008;20008;20008;20008;20008;20009
IDNG-MG-DP;LUMI-EMER-E1-33-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20036;20037;20037;20037;20037;20037;20037;20038;20039;20040;20040;20040;20040;20040;20041
IDNG-MG-DP;LUMI-EMER-E1-41-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20068;20069;20069;20069;20069;20069;20069;20070;20071;20072;20072;20072;20072;20072;20073
IDNG-MG-DP;LUMI-EMER-E1-3A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20100;20101;20101;20101;20101;20101;20101;20102;20103;20104;20104;20104;20104;20104;20105
IDNG-MG-DP;LUMI-EMER-E1-25-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20132;20133;20133;20133;20133;20133;20133;20134;20135;20136;20136;20136;20136;20136;20137
IDNG-MG-DP;LUMI-EMER-E1-42-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20164;20165;20165;20165;20165;20165;20165;20166;20167;20168;20168;20168;20168;20168;20169
IDNG-MG-DP;LUMI-EMER-E1-2A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20196;20197;20197;20197;20197;20197;20197;20198;20199;20200;20200;20200;20200;20200;20201
IDNG-MG-DP;LUMI-EMER-E1-68-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20228;20229;20229;20229;20229;20229;20229;20230;20231;20232;20232;20232;20232;20232;20233
IDNG-MG-DP;LUMI-EMER-E1-5B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20260;20261;20261;20261;20261;20261;20261;20262;20263;20264;20264;20264;20264;20264;20265
IDNG-MG-DP;LUMI-EMER-E1-81-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20292;20293;20293;20293;20293;20293;20293;20294;20295;20296;20296;20296;20296;20296;20297
IDNG-MG-DP;LUMI-EMER-E1-28-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20324;20325;20325;20325;20325;20325;20325;20326;20327;20328;20328;20328;20328;20328;20329
IDNG-MG-DP;LUMI-EMER-E1-53-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20356;20357;20357;20357;20357;20357;20357;20358;20359;20360;20360;20360;20360;20360;20361
IDNG-MG-DP;LUMI-EMER-E1-4C-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20388;20389;20389;20389;20389;20389;20389;20390;20391;20392;20392;20392;20392;20392;20393
IDNG-MG-DP;LUMI-EMER-E1-26-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20420;20421;20421;20421;20421;20421;20421;20422;20423;20424;20424;20424;20424;20424;20425
IDNG-MG-DP;LUMI-EMER-E1-5A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20452;20453;20453;20453;20453;20453;20453;20454;20455;20456;20456;20456;20456;20456;20457
IDNG-MG-DP;LUMI-EMER-E1-79-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20484;20485;20485;20485;20485;20485;20485;20486;20487;20488;20488;20488;20488;20488;20489
IDNG-MG-DP;LUMI-EMER-E1-24-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20516;20517;20517;20517;20517;20517;20517;20518;20519;20520;20520;20520;20520;20520;20521
IDNG-MG-DP;LUMI-EMER-E1-5D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20548;20549;20549;20549;20549;20549;20549;20550;20551;20552;20552;20552;20552;20552;20553
IDNG-MG-DP;LUMI-EMER-E1-57-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20580;20581;20581;20581;20581;20581;20581;20582;20583;20584;20584;20584;20584;20584;20585
IDNG-MG-DP;LUMI-EMER-E1-3C-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20612;20613;20613;20613;20613;20613;20613;20614;20615;20616;20616;20616;20616;20616;20617
IDNG-MG-DP;LUMI-EMER-E1-60-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20644;20645;20645;20645;20645;20645;20645;20646;20647;20648;20648;20648;20648;20648;20649
IDNG-MG-DP;LUMI-EMER-E1-3D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20676;20677;20677;20677;20677;20677;20677;20678;20679;20680;20680;20680;20680;20680;20681
IDNG-MG-DP;LUMI-EMER-E1-30-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20708;20709;20709;20709;20709;20709;20709;20710;20711;20712;20712;20712;20712;20712;20713
IDNG-MG-DP;LUMI-EMER-E1-23-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20740;20741;20741;20741;20741;20741;20741;20742;20743;20744;20744;20744;20744;20744;20745
IDNG-MG-DP;LUMI-EMER-E1-3E-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20772;20773;20773;20773;20773;20773;20773;20774;20775;20776;20776;20776;20776;20776;20777
IDNG-MG-DP;LUMI-EMER-E1-34-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20804;20805;20805;20805;20805;20805;20805;20806;20807;20808;20808;20808;20808;20808;20809
IDNG-MG-DP;LUMI-EMER-E1-2F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;20836;20837;20837;20837;20837;20837;20837;20838;20839;20840;20840;20840;20840;20840;20841
