device_name;PLC_name;PLC_ip;port(i);url_publisher;offset_opac_concentration(i)
OP-1-01-DP;ES-04-DP;192.168.88.201;5070;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-1-02-DP;ES-06-DP;192.168.88.201;5100;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;1
OP-1-03-DP;ES-08-DP;192.168.88.201;5130;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-1-04-DP;ES-10-DP;192.168.88.201;5160;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-2-01-DP;ES-14-DP;192.168.88.201;5200;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-2-02-DP;ES-16-DP;192.168.88.201;5220;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-2-03-DP;ES-18-DP;192.168.88.201;5240;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-2-04-DP;ES-20-DP;192.168.88.201;5260;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-1-01-CA;ES-04-CA;192.168.88.201;5320;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
OP-2-01-CA;ES-06-CA;192.168.88.201;5340;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;0
