device_name;url_publisher;source_name;host;port(i);offset_start(i);offset_failure(i);offset_fuel_level(i)
GE2-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-11-DP;192.168.88.201;5030;46;47;49
GE3-DP;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;M-01-DP;192.168.88.201;5020;52;53;55
GE4-CA;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;ES-05-CA;192.168.88.201;5330;14;15;17
