PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i)
IDNG-MG-DP;LUMI-EMER-E2-6A-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10916;10917;10917;10917;10917;10917;10917;10918;10919;10920;10920;10920;10920;10920;10921
IDNG-MG-DP;LUMI-EMER-E2-65-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10948;10949;10949;10949;10949;10949;10949;10950;10951;10952;10952;10952;10952;10952;10953
IDNG-MG-DP;LUMI-EMER-E2-69-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10980;10981;10981;10981;10981;10981;10981;10982;10983;10984;10984;10984;10984;10984;10985
IDNG-MG-DP;LUMI-EMER-E2-61-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11012;11013;11013;11013;11013;11013;11013;11014;11015;11016;11016;11016;11016;11016;11017
IDNG-MG-DP;LUMI-EMER-E2-6B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11044;11045;11045;11045;11045;11045;11045;11046;11047;11048;11048;11048;11048;11048;11049
IDNG-MG-DP;LUMI-EMER-E2-6D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11076;11077;11077;11077;11077;11077;11077;11078;11079;11080;11080;11080;11080;11080;11081
IDNG-MG-DP;LUMI-EMER-E2-3E-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11108;11109;11109;11109;11109;11109;11109;11110;11111;11112;11112;11112;11112;11112;11113
IDNG-MG-DP;LUMI-EMER-E2-5D-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11140;11141;11141;11141;11141;11141;11141;11142;11143;11144;11144;11144;11144;11144;11145
IDNG-MG-DP;LUMI-EMER-E2-5E-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11172;11173;11173;11173;11173;11173;11173;11174;11175;11176;11176;11176;11176;11176;11177
IDNG-MG-DP;LUMI-EMER-E2-2F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11204;11205;11205;11205;11205;11205;11205;11206;11207;11208;11208;11208;11208;11208;11209
IDNG-MG-DP;LUMI-EMER-E2-2E-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11236;11237;11237;11237;11237;11237;11237;11238;11239;11240;11240;11240;11240;11240;11241
IDNG-MG-DP;LUMI-EMER-E2-2B-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11268;11269;11269;11269;11269;11269;11269;11270;11271;11272;11272;11272;11272;11272;11273
IDNG-MG-DP;LUMI-EMER-E0-D0-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11300;11301;11301;11301;11301;11301;11301;11302;11303;11304;11304;11304;11304;11304;11305
IDNG-MG-DP;LUMI-EMER-E0-CC-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11332;11333;11333;11333;11333;11333;11333;11334;11335;11336;11336;11336;11336;11336;11337
IDNG-MG-DP;LUMI-EMER-E0-C8-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11364;11365;11365;11365;11365;11365;11365;11366;11367;11368;11368;11368;11368;11368;11369
IDNG-MG-DP;LUMI-EMER-E0-F5-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11396;11397;11397;11397;11397;11397;11397;11398;11399;11400;11400;11400;11400;11400;11401
IDNG-MG-DP;LUMI-EMER-E0-CF-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11428;11429;11429;11429;11429;11429;11429;11430;11431;11432;11432;11432;11432;11432;11433
IDNG-MG-DP;LUMI-EMER-E0-C7-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11460;11461;11461;11461;11461;11461;11461;11462;11463;11464;11464;11464;11464;11464;11465
IDNG-MG-DP;LUMI-EMER-E1-09-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;11492;11493;11493;11493;11493;11493;11493;11494;11495;11496;11496;11496;11496;11496;11497
