item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;MBNKD01;MBNKD01;MBNKD01;R7;R7_2:Ketelec-Dunajská Lužná;;12+837;L;SIEMENS;LOGO! 12/24 RCEo
2;MBOKD01L;MBOKD01L;MBOKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;13+182;L;SIEMENS;LOGO! 12/24 RCEo
3;MBODH01L;MBODH01L;MBODH01L;R7;R7_3:Dunajská Lužná-Šamorín;;18+242;L;SIEMENS;LOGO! 12/24 RCEo
4;MBODH02L;MBODH02L;MBODH02L;R7;R7_4:Šamorín-Holice;;22+022;L;SIEMENS;LOGO! 12/24 RCEo
5;MBOJS03P;MBOJS03P;MBOJS03P;D4;D4_3:Ketelec-Rovinca;;12+007;L;SIEMENS;LOGO! 12/24 RCEo
6;MBOJS04P;MBOJS04P;MBOJS04P;D4;D4_4:Rovinka-Pod.Biskupice;;14+613;L;SIEMENS;LOGO! 12/24 RCEo
7;MBNJS01P;MBNJS01P;MBNJS01P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+353;P;SIEMENS;LOGO! 12/24 RCEo
8;MBOJS05P;MBOJS05P;MBOJS05P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+188;P;SIEMENS;LOGO! 12/24 RCEo
9;MBOJS01L;MBOJS01L;MBOJS01L;D4;D4_1:Jarovce-Rusovce;;3+984;L;SIEMENS;LOGO! 12/24 RCEo
10;MBOJS02P;MBOJS02P;MBOJS02P;D4;D4_2:Rusovce-Ketelec;;8+244;P;SIEMENS;LOGO! 12/24 RCEo
11;MBOSR01P;MBOSR01P;MBOSR01P;D4;D4_7:Ivanka sever-Cierna voda;;26+013;P;SIEMENS;LOGO! 12/24 RCEo
12;MBOSR02P;MBOSR02P;MBOSR02P;D4;D4_8:Cierna voda-Raca;;27+212;P;SIEMENS;LOGO! 12/24 RCEo
13;MBOPK01L;MBOPK01L;MBOPK01L;R7;R7_1:Prievoz-Ketelec;;3+620;L;SIEMENS;LOGO! 12/24 RCEo
