item;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model
1;RADF-127+670D;RADF-127+670D;RADF-127+670D;A-15;A-15 Decr;127+670;-;-
2;RADF-91+358D;RADF-91+358D;RADF-91+358D;N-113;N-113 Decr;91+358;-;-
3;RADF-32+560C;RADF-32+560C;RADF-32+560C;N-121-A;N-121-A Cre;32+560;-;-
4;RADF-401+561C;RADF-401+561C;RADF-401+561C;A-1;A-1 Cre;401+561;-;-
5;RADF-25+900D;RADF-25+900D;RADF-25+900D;N-121-A;N-121-A Decr;25+900;-;-
6;RADF-60+230C;RADF-60+230C;RADF-60+230C;N-121-A;N-121-A Cre;60+230;-;-
