item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_virtual;param3_los_type;param4_los_soften;param5_los_flatten;param6_los_threshold_speed;param7_los_threshold_occupancy;param8_imd_graphics;param9_vel_media_graphics;param60_cat_veh_length1;param61_cat_veh_length2;param62_cat_veh_length3;param80_cat_veh_speed1;param81_cat_veh_speed2;param82_cat_veh_speed3;param83_cat_veh_speed4
1;2;TUN-ETD-1-SEC-1CA-IN;TUN-ETD-1-SEC-1CA-IN;TUN-ETD-1-SEC-1CA-IN;Carretera Tunel;Carretera;173+900;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4]
2;2;TUN-ETD-1-SEC-2MA-OUT;TUN-ETD-1-SEC-2MA-OUT;TUN-ETD-1-SEC-2MA-OUT;Carretera Tunel;Carretera;173+900;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4]
3;2;TUN-ETD-2-SEC-1MA-IN;TUN-ETD-2-SEC-1MA-IN;TUN-ETD-2-SEC-1MA-IN;Carretera Tunel;Carretera;173+900;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4]
4;2;TUN-ETD-2-SEC-2CA-OUT;TUN-ETD-2-SEC-2CA-OUT;TUN-ETD-2-SEC-2CA-OUT;Carretera Tunel;Carretera;173+900;MA;true;false;0;false;false;[8, 32, 72];[16, 28, 35];http://192.168.88.200:3030/d/TYXiORfMk/imd-veh-h?orgId=1&refresh=30s&fullscreen&panelId=2&from=now-1h&to=now;http://192.168.88.200:3030/d/FfFhOgfGk/velocidad-media-km-h?orgId=1&refresh=30s&from=now-1h&to=now&fullscreen&panelId=2;[1];[2];[3];[1];[2];[3];[4]
