item;alias;description;sessionuid;road;stretchs;pk;sentido
1;MM-PTA1-GAL;MM-PTA1-GAL;MM-PTA1-GAL;AP7 - AUSOL I;MM-TUNEL;166+677;CA
2;MM-PTA2-GAL;MM-PTA2-GAL;MM-PTA2-GAL;AP7 - AUSOL I;MM-TUNEL;166+677;CA
3;CH-PTA1-GAL;CH-PTA1-GAL;CH-PTA1-GAL;AP7 - AUSOL I;CH-TUNEL;13+825;CA
4;CH-PTA2-GAL;CH-PTA2-GAL;CH-PTA2-GAL;AP7 - AUSOL I;CH-TUNEL;13+825;CA
5;LQ-PTA1-GAL;LQ-PTA1-GAL;LQ-PTA1-GAL;AP7 - AUSOL I;LQ-TUNEL;172+100;CA
6;LQ-PTA2-GAL;LQ-PTA2-GAL;LQ-PTA2-GAL;AP7 - AUSOL I;LQ-TUNEL;172+100;CA
7;COR-PTA1-GAL;COR-PTA1-GAL;COR-PTA1-GAL;AP7 - AUSOL II;COR-TUNEL;199-230;CA
8;COR-PTA2-GAL;COR-PTA2-GAL;COR-PTA2-GAL;AP7 - AUSOL II;COR-TUNEL;199+230;CA
9;COR-PTA3-GAL;COR-PTA3-GAL;COR-PTA3-GAL;AP7 - AUSOL II;COR-TUNEL;199+593;CA
10;COR-PTA4-GAL;COR-PTA4-GAL;COR-PTA4-GAL;AP7 - AUSOL II;COR-TUNEL;199+593;CA
11;COR-PTA5-GAL;COR-PTA5-GAL;COR-PTA5-GAL;AP7 - AUSOL II;COR-TUNEL;199+793;CA
12;COR-PTA6-GAL;COR-PTA6-GAL;COR-PTA6-GAL;AP7 - AUSOL II;COR-TUNEL;199+793;CA
13;STM2-PTA1-GAL;STM2-PTA1-GAL;STM2-PTA1-GAL;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
14;STM2-PTA2-GAL;STM2-PTA2-GAL;STM2-PTA2-GAL;AP7 - AUSOL II;STMII-TUNEL;150+243;MA
15;NG-PTA1-GAL;NG-PTA1-GAL;NG-PTA1-GAL;AP7 - AUSOL I;NG-TUNEL;177+712;CA
16;NG-PTA2-GAL;NG-PTA2-GAL;NG-PTA2-GAL;AP7 - AUSOL I;NG-TUNEL;177+175;MA
17;CAS-PTA1-GAL;CAS-PTA1-GAL;CAS-PTA1-GAL;AP7 - AUSOL II;CAS-TUNEL;199-230;CA
18;CAS-PTA2-GAL;CAS-PTA2-GAL;CAS-PTA2-GAL;AP7 - AUSOL II;CAS-TUNEL;199+230;CA
19;CAS-PTA3-GAL;CAS-PTA3-GAL;CAS-PTA3-GAL;AP7 - AUSOL II;CAS-TUNEL;199+593;CA
20;CAS-PTA4-GAL;CAS-PTA4-GAL;CAS-PTA4-GAL;AP7 - AUSOL II;CAS-TUNEL;199+593;CA
