item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;ALJ1-DETFLJ-PCI-1;ALJ1-DETFLJ-PCI-1;ALJ1-DETFLJ-PCI-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
2;ALJ1-DETFLJ-PCI-2;ALJ1-DETFLJ-PCI-2;ALJ1-DETFLJ-PCI-2;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
3;ALJ1-DETPR-PCI-1;ALJ1-DETPR-PCI-1;ALJ1-DETPR-PCI-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
4;ALJ2-DETFLJ-PCI-1;ALJ2-DETFLJ-PCI-1;ALJ2-DETFLJ-PCI-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
5;ALJ2-DETFLJ-PCI-2;ALJ2-DETFLJ-PCI-2;ALJ2-DETFLJ-PCI-2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
6;ALJ2-DETPR-PCI-1;ALJ2-DETPR-PCI-1;ALJ2-DETPR-PCI-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
7;ALJ3-DETFLJ-PCI-1;ALJ3-DETFLJ-PCI-1;ALJ3-DETFLJ-PCI-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
8;ALJ3-DETFLJ-PCI-2;ALJ3-DETFLJ-PCI-2;ALJ3-DETFLJ-PCI-2;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
9;ALJ3-DETPR-PCI-1;ALJ3-DETPR-PCI-1;ALJ3-DETPR-PCI-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
10;ALJ4-DETFLJ-PCI-1;ALJ4-DETFLJ-PCI-1;ALJ4-DETFLJ-PCI-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
11;ALJ4-DETFLJ-PCI-2;ALJ4-DETFLJ-PCI-2;ALJ4-DETFLJ-PCI-2;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
12;ALJ4-DETPR-PCI-1;ALJ4-DETPR-PCI-1;ALJ4-DETPR-PCI-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
13;ALJ1-DETROOM-PCI-1;ALJ1-DETROOM-PCI-1;ALJ1-DETROOM-PCI-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
14;ALJ2-DETROOM-PCI-1;ALJ2-DETROOM-PCI-1;ALJ2-DETROOM-PCI-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
15;ALJ3-DETROOM-PCI-1;ALJ3-DETROOM-PCI-1;ALJ3-DETROOM-PCI-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
16;ALJ4-DETROOM-PCI-1;ALJ4-DETROOM-PCI-1;ALJ4-DETROOM-PCI-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
