item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param2_entrance_tunnel_distance
1;RV-OPC-1CA;RV-OPC-1CA;RV-OPC-1CA;AP7 - AUSOL I;RV-TUNEL;177+137;CA;SendValuesToVentilation.groovy;160
2;RV-OPC-1MA;RV-OPC-1MA;RV-OPC-1MA;AP7 - AUSOL I;RV-TUNEL;177+145;MA;SendValuesToVentilation.groovy;140
3;MM-OPC-1CA;MM-OPC-1CA;MM-OPC-1CA;AP7 - AUSOL I;MM-TUNEL;166+587;CA;SendValuesToVentilation.groovy;120
4;MM-OPC-2CA;MM-OPC-2CA;MM-OPC-2CA;AP7 - AUSOL I;MM-TUNEL;166+387;CA;SendValuesToVentilation.groovy;320
5;MM-OPC-3CA;MM-OPC-3CA;MM-OPC-3CA;AP7 - AUSOL I;MM-TUNEL;166+217;CA;SendValuesToVentilation.groovy;490
6;MM-OPC-1MA;MM-OPC-1MA;MM-OPC-1MA;AP7 - AUSOL I;MM-TUNEL;166+023;MA;SendValuesToVentilation.groovy;120
7;MM-OPC-2MA;MM-OPC-2MA;MM-OPC-2MA;AP7 - AUSOL I;MM-TUNEL;166+043;MA;SendValuesToVentilation.groovy;320
8;MM-OPC-3MA;MM-OPC-3MA;MM-OPC-3MA;AP7 - AUSOL I;MM-TUNEL;166+006;MA;SendValuesToVentilation.groovy;490
9;LQ-OPC-1CA;LQ-OPC-1CA;LQ-OPC-1CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy;0
10;LQ-OPC-2CA;LQ-OPC-2CA;LQ-OPC-2CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy;0
11;LQ-OPC-3CA;LQ-OPC-3CA;LQ-OPC-3CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy;0
12;LQ-OPC-4CA;LQ-OPC-4CA;LQ-OPC-4CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy;0
13;LQ-OPC-5CA;LQ-OPC-5CA;LQ-OPC-5CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy;0
14;LQ-OPC-1MA;LQ-OPC-1MA;LQ-OPC-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy;0
15;LQ-OPC-2MA;LQ-OPC-2MA;LQ-OPC-2MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy;0
16;LQ-OPC-3MA;LQ-OPC-3MA;LQ-OPC-3MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy;0
17;LQ-OPC-4MA;LQ-OPC-4MA;LQ-OPC-4MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy;0
18;CH-OPC-1MA;CH-OPC-1MA;CH-OPC-1MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy;-
19;CH-OPC-2MA;CH-OPC-2MA;CH-OPC-2MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy;-
20;CH-OPC-3MA;CH-OPC-3MA;CH-OPC-3MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy;-
21;CH-OPC-1CA;CH-OPC-1CA;CH-OPC-1CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy;-
22;CH-OPC-2CA;CH-OPC-2CA;CH-OPC-2CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy;-
23;CH-OPC-3CA;CH-OPC-3CA;CH-OPC-3CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy;-
24;CAS-OPC-1MA;CAS-OPC-1MA;CAS-OPC-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy;-
25;CAS-OPC-2MA;CAS-OPC-2MA;CAS-OPC-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy;-
26;CAS-OPC-3MA;CAS-OPC-3MA;CAS-OPC-3MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy;-
27;CAS-OPC-4MA;CAS-OPC-4MA;CAS-OPC-4MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy;-
28;CAS-OPC-5MA;CAS-OPC-5MA;CAS-OPC-5MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy;-
29;CAS-OPC-1CA;CAS-OPC-1CA;CAS-OPC-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy;-
30;CAS-OPC-2CA;CAS-OPC-2CA;CAS-OPC-2CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy;-
31;CAS-OPC-3CA;CAS-OPC-3CA;CAS-OPC-3CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy;-
32;CAS-OPC-4CA;CAS-OPC-4CA;CAS-OPC-4CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy;-
33;CAS-OPC-5CA;CAS-OPC-5CA;CAS-OPC-5CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy;-
34;COR-OPC-1CA;COR-OPC-1CA;COR-OPC-1CA;AP7 - AUSOL I;COR-TUNEL;199+593;CA;SendValuesToVentilation.groovy;-
35;COR-OPC-2CA;COR-OPC-2CA;COR-OPC-2CA;AP7 - AUSOL I;COR-TUNEL;199+593;CA;SendValuesToVentilation.groovy;-
36;COR-OPC-3CA;COR-OPC-3CA;COR-OPC-3CA;AP7 - AUSOL I;COR-TUNEL;199+393;CA;SendValuesToVentilation.groovy;-
37;COR-OPC-4CA;COR-OPC-4CA;COR-OPC-4CA;AP7 - AUSOL I;COR-TUNEL;199+393;CA;SendValuesToVentilation.groovy;-
38;COR-OPC-1MA;COR-OPC-1MA;COR-OPC-1MA;AP7 - AUSOL I;COR-TUNEL;199+223;MA;SendValuesToVentilation.groovy;-
39;COR-OPC-2MA;COR-OPC-2MA;COR-OPC-2MA;AP7 - AUSOL I;COR-TUNEL;199+223;MA;SendValuesToVentilation.groovy;-
40;COR-OPC-3MA;COR-OPC-3MA;COR-OPC-3MA;AP7 - AUSOL I;COR-TUNEL;199+463;MA;SendValuesToVentilation.groovy;-
41;COR-OPC-4MA;COR-OPC-4MA;COR-OPC-4MA;AP7 - AUSOL I;COR-TUNEL;199+463;MA;SendValuesToVentilation.groovy;-
42;STM2-OPC-1CA;STM2-OPC-1CA;STM2-OPC-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;SendValuesToVentilation.groovy;-
43;STM2-OPC-2CA;STM2-OPC-2CA;STM2-OPC-2CA;AP7 - AUSOL II;STMII-TUNEL;150+497;CA;SendValuesToVentilation.groovy;-
44;STM2-OPC-3CA;STM2-OPC-3CA;STM2-OPC-3CA;AP7 - AUSOL II;STMII-TUNEL;150+245;CA;SendValuesToVentilation.groovy;-
45;STM2-OPC-1MA;STM2-OPC-1MA;STM2-OPC-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA;SendValuesToVentilation.groovy;-
46;STM2-OPC-2MA;STM2-OPC-2MA;STM2-OPC-2MA;AP7 - AUSOL II;STMII-TUNEL;150+373;MA;SendValuesToVentilation.groovy;-
47;STM2-OPC-3MA;STM2-OPC-3MA;STM2-OPC-3MA;AP7 - AUSOL II;STMII-TUNEL;150+796;MA;SendValuesToVentilation.groovy;-
48;NG-OPC-1CA;NG-OPC-1CA;NG-OPC-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA;SendValuesToVentilation.groovy;-
49;NG-OPC-2CA;NG-OPC-2CA;NG-OPC-2CA;AP7 - AUSOL I;NG-TUNEL;177+612;CA;SendValuesToVentilation.groovy;-
50;NG-OPC-3CA;NG-OPC-3CA;NG-OPC-3CA;AP7 - AUSOL I;NG-TUNEL;177+412;CA;SendValuesToVentilation.groovy;-
51;NG-OPC-1MA;NG-OPC-1MA;NG-OPC-1MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA;SendValuesToVentilation.groovy;-
52;NG-OPC-2MA;NG-OPC-2MA;NG-OPC-2MA;AP7 - AUSOL I;NG-TUNEL;177+585;MA;SendValuesToVentilation.groovy;-
53;NG-OPC-3MA;NG-OPC-3MA;NG-OPC-3MA;AP7 - AUSOL I;NG-TUNEL;177+685;MA;SendValuesToVentilation.groovy;-
