device_name;session_uid;url_publisher;PLC_ip;port(i);read_permission;write_permission;offset_sos_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i);offset_vol_mic_reader(i);offset_sip(i);offset_vol_audio_reader(i);offset_test_audio_reader(i);offset_test_audio_writer(i);offset_last_day_test(i);offset_last_month_test(i);offset_last_year_test(i);offset_last_hour_test(i);offset_last_minute_test(i);offset_last_second_test(i);offset_sos_electronic_fail(i);offset_foghorn_state(i);offset_sip_register(i);offset_vol_audio_writer(i);offset_vol_mic_writer(i);offset_test_llamada(i)
NO-S1S1-SOS-01;NO-S1S1-SOS-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S1-SOS-02;NO-S1S1-SOS-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S1-SOS-03;NO-S1S1-SOS-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S1-SOS-04;NO-S1S1-SOS-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S1-SOS-05;NO-S1S1-SOS-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S1-SOS-06;NO-S1S1-SOS-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-01;NO-S1S2-SOS-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-02;NO-S1S2-SOS-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-03;NO-S1S2-SOS-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-06;NO-S1S2-SOS-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-07;NO-S1S2-SOS-07;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-08;NO-S1S2-SOS-08;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-04;NO-S1S2-SOS-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-05;NO-S1S2-SOS-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-09;NO-S1S2-SOS-09;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S2-SOS-10;NO-S1S2-SOS-10;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-01;NO-S1S3-SOS-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-02;NO-S1S3-SOS-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-03;NO-S1S3-SOS-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-04;NO-S1S3-SOS-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-05;NO-S1S3-SOS-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S1S3-SOS-06;NO-S1S3-SOS-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-01;NO-S2-SOS-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-02;NO-S2-SOS-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-03;NO-S2-SOS-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-04;NO-S2-SOS-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-05;NO-S2-SOS-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
NO-S2-SOS-06;NO-S2-SOS-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;192.168.88.198;502;monitor;;2;1;3;8;5;9;10;24;11;12;13;14;15;16;26;4;7;23;22;25
