item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;ICEO-AIM-001;ICEO-AIM-001;ICEO-AIM-001;AVO;ICEO_EXT;Secc.01-19-15;1+07;;1065
2;ICEP-AIM-001;ICEP-AIM-001;ICEP-AIM-001;AVO;ICEP_EXT;Secc.01-21-15;0+10;;100
3;IVEN-AIM-001;IVEN-AIM-001;IVEN-AIM-001;AVO;IVEN_EXT;Secc.01-09-15;35+41;;2050
4;INKP-AIM-001;INKP-AIM-001;INKP-AIM-001;AVO;INKP_EXT;Secc.02-29-04;0+31;;310
5;IVIP-AIM-001;IVIP-AIM-001;IVIP-AIM-001;AVO;IVIP_EXT;Secc.02-16-04;3+02;;3020
6;IPRO-AIM-001;IPRO-AIM-001;IPRO-AIM-001;AVO;IPRO_EXT;Secc.03-57-10;4+07;;4070
7;ICCO-AIM-001;ICCO-AIM-001;ICCO-AIM-001;AVO;ICCO_EXT;Secc.03-258-09;5+03;;5030
8;ICCP-AIM-001;ICCP-AIM-001;ICCP-AIM-001;AVO;ICCP_EXT;Secc.02-256-07;6+075;;6075
9;IBTO-AIM-001;IBTO-AIM-001;IBTO-AIM-001;AVO;IBTO_EXT;Secc.03-255-08;7+1;;7100
