PLC_name;device_name;session_uid;ip;port(i);url_publisher;offset_ipl_temperatura_balizas(i);offset_ipl_temperatura(i);offset_ipl_falla(i)
WAGO;IPL-2500;IPL-2500;172.22.128.245;502;http:\/\/10.50.192.84:3000\/api\/v2\/generic\/;3;4;5
WAGO;IPL-1200;IPL-1200;172.22.128.245;502;http:\/\/10.50.192.84:3000\/api\/v2\/generic\/;0;1;2
