item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param4_config_json
75;12;STM2-AF-2MA;STM2-AF-2MA;STM2-AF-2MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
76;12;STM2-AF-3MA;STM2-AF-3MA;STM2-AF-3MA;AP7 - AUSOL II;STMII-TUNEL;150+796;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
77;12;STM2-AF-4MA;STM2-AF-4MA;STM2-AF-4MA;AP7 - AUSOL II;STMII-TUNEL;150+796;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
78;16;STM2-PMVI-1CA;STM2-PMVI-1CA;STM2-PMVI-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
79;16;STM2-PMVI-1MA;STM2-PMVI-1MA;STM2-PMVI-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
80;22;STM2-PMV-16MA;STM2-PMV-16MA;STM2-PMV-16MA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
81;22;EST-PMV-19CA;EST-PMV-19CA;EST-PMV-19CA;AP7 - AUSOL II;EST-TUNEL;177+229;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
82;22;NG-PMV-21CA;NG-PMV-21CA;NG-PMV-21CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA;Fixalia;DGT_64;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
83;22;NG-PMV-25MA;NG-PMV-25MA;NG-PMV-25MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
84;22;EST-PMV-22MA;EST-PMV-22MA;EST-PMV-22MA;AP7 - AUSOL II;EST-TUNEL;177+229;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
85;22;EST-PMV-26MA;EST-PMV-26MA;EST-PMV-26MA;AP7 - AUSOL II;EST-TUNEL;177+229;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
86;22;GDR-PMV-9MA;GDR-PMV-9MA;GDR-PMV-9MA;AP7 - AUSOL II;GDR-PEAJE;177+229;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
87;22;GDR-PMV-10MA;GDR-PMV-10MA;GDR-PMV-10MA;AP7 - AUSOL II;GDR-PEAJE;177+229;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
88;22;MNV-PMV-11MA;MNV-PMV-11MA;MNV-PMV-11MA;AP7 - AUSOL II;MNV-PEAJE;177+229;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
89;22;MNV-PMV-13CA;MNV-PMV-13CA;MNV-PMV-13CA;AP7 - AUSOL II;MNV-PEAJE;177+229;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
90;18;EST-PMV-18CA;EST-PMV-18CA;EST-PMV-18CA;AP7 - AUSOL II;EST-TUNEL;177+229;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
