item;stretch_type;alias;pk_ini;pk_end;lanes;road
1;Element;IBTO-ZON-001;0;0;0;AVO
2;Element;IBTO-ZON-002;0;0;0;AVO
3;Element;IBTO-ZON-003;0;0;0;AVO
4;Element;ICCO-ZON-001;0;0;0;AVO
5;Element;ICCO-ZON-002;0;0;0;AVO
6;Element;ICCP-ZON-001;0;0;0;AVO
7;Element;ICCP-ZON-002;0;0;0;AVO
8;Element;ICCP-ZON-003;0;0;0;AVO
9;Element;ICNP-ZON-001;0;0;0;AVO
10;Element;ICNP-ZON-002;0;0;0;AVO
11;Element;ICNP-ZON-003;0;0;0;AVO
12;Element;ICNP-ZON-004;0;0;0;AVO
13;Element;ICNP-ZON-005;0;0;0;AVO
14;Element;ICNP-ZON-006;0;0;0;AVO
15;Element;INKO-ZON-001;0;0;0;AVO
16;Element;INKO-ZON-002;0;0;0;AVO
17;Element;INKP-ZON-001;0;0;0;AVO
18;Element;INKP-ZON-002;0;0;0;AVO
19;Element;INKP-ZON-003;0;0;0;AVO
20;Element;INKP-ZON-004;0;0;0;AVO
21;Element;INKP-ZON-005;0;0;0;AVO
22;Element;INKP-ZON-006;0;0;0;AVO
23;Element;INKP-ZON-007;0;0;0;AVO
24;Element;INKP-ZON-008;0;0;0;AVO
25;Element;IPRO-ZON-001;0;0;0;AVO
26;Element;IVIP-ZON-001;0;0;0;AVO
27;Element;IVIP-ZON-002;0;0;0;AVO
28;Element;IVIP-ZON-003;0;0;0;AVO
29;Element;S1TN-ZON-001;0;0;0;AVO
30;Element;S1TN-ZON-002;0;0;0;AVO
31;Element;S1TN-ZON-003;0;0;0;AVO
32;Element;S1TN-ZON-004;0;0;0;AVO
33;Element;S1TN-ZON-005;0;0;0;AVO
34;Element;S1TS-ZON-001;0;0;0;AVO
35;Element;S1TS-ZON-002;0;0;0;AVO
36;Element;S1TS-ZON-003;0;0;0;AVO
37;Element;S1TS-ZON-004;0;0;0;AVO
38;Element;S1TS-ZON-005;0;0;0;AVO
39;Element;S1TS-ZON-006;0;0;0;AVO
40;Element;S1TS-ZON-007;0;0;0;AVO
41;Element;S1TS-ZON-008;0;0;0;AVO
42;Element;S1TS-ZON-009;0;0;0;AVO
43;Element;S1TS-ZON-010;0;0;0;AVO
44;Element;S1TS-ZON-011;0;0;0;AVO
45;Element;S1TS-ZON-012;0;0;0;AVO
46;Element;S1TS-ZON-013;0;0;0;AVO
47;Element;S1TS-ZON-014;0;0;0;AVO
48;Element;S1TS-ZON-015;0;0;0;AVO
49;Element;S1TS-ZON-016;0;0;0;AVO
50;Element;S1TS-ZON-017;0;0;0;AVO
51;Element;S1TS-ZON-018;0;0;0;AVO
52;Element;S1TS-ZON-019;0;0;0;AVO
53;Element;S1TS-ZON-020;0;0;0;AVO
54;Element;S1TS-ZON-021;0;0;0;AVO
55;Element;S1TS-ZON-022;0;0;0;AVO
56;Element;S1TS-ZON-023;0;0;0;AVO
57;Element;S1TS-ZON-024;0;0;0;AVO
58;Element;S1TS-ZON-025;0;0;0;AVO
59;Element;S1TS-ZON-026;0;0;0;AVO
60;Element;S1TS-ZON-027;0;0;0;AVO
61;Element;S2TN-ZON-001;0;0;0;AVO
62;Element;S2TN-ZON-002;0;0;0;AVO
63;Element;S2TN-ZON-003;0;0;0;AVO
64;Element;S2TN-ZON-004;0;0;0;AVO
65;Element;S2TN-ZON-005;0;0;0;AVO
66;Element;S2TN-ZON-006;0;0;0;AVO
67;Element;S2TN-ZON-007;0;0;0;AVO
68;Element;S2TN-ZON-008;0;0;0;AVO
69;Element;S2TN-ZON-009;0;0;0;AVO
70;Element;S2TN-ZON-010;0;0;0;AVO
71;Element;S2TN-ZON-011;0;0;0;AVO
72;Element;S2TN-ZON-012;0;0;0;AVO
73;Element;S2TN-ZON-013;0;0;0;AVO
74;Element;S2TN-ZON-014;0;0;0;AVO
75;Element;S2TN-ZON-015;0;0;0;AVO
76;Element;S2TN-ZON-016;0;0;0;AVO
77;Element;S2TN-ZON-017;0;0;0;AVO
78;Element;S2TN-ZON-018;0;0;0;AVO
79;Element;S2TN-ZON-019;0;0;0;AVO
80;Element;S2TN-ZON-020;0;0;0;AVO
81;Element;S2TN-ZON-021;0;0;0;AVO
82;Element;S2TN-ZON-022;0;0;0;AVO
83;Element;S2TN-ZON-023;0;0;0;AVO
84;Element;S2TN-ZON-024;0;0;0;AVO
85;Element;S2TN-ZON-025;0;0;0;AVO
86;Element;S2TN-ZON-026;0;0;0;AVO
87;Element;S2TN-ZON-027;0;0;0;AVO
88;Element;S2TN-ZON-028;0;0;0;AVO
89;Element;S2TN-ZON-029;0;0;0;AVO
90;Element;S2TN-ZON-030;0;0;0;AVO
91;Element;S2TN-ZON-031;0;0;0;AVO
92;Element;S2TN-ZON-032;0;0;0;AVO
93;Element;S2TN-ZON-033;0;0;0;AVO
94;Element;S2TN-ZON-034;0;0;0;AVO
95;Element;S2TN-ZON-035;0;0;0;AVO
96;Element;S2TN-ZON-036;0;0;0;AVO
97;Element;S2TN-ZON-037;0;0;0;AVO
98;Element;S2TN-ZON-038;0;0;0;AVO
99;Element;S2TN-ZON-039;0;0;0;AVO
100;Element;S2TN-ZON-040;0;0;0;AVO
101;Element;S2TN-ZON-041;0;0;0;AVO
102;Element;S2TN-ZON-042;0;0;0;AVO
103;Element;S2TN-ZON-043;0;0;0;AVO
104;Element;S2TN-ZON-044;0;0;0;AVO
105;Element;S2TN-ZON-045;0;0;0;AVO
106;Element;S2TN-ZON-046;0;0;0;AVO
107;Element;S2TN-ZON-047;0;0;0;AVO
108;Element;S2TN-ZON-048;0;0;0;AVO
109;Element;S2TN-ZON-049;0;0;0;AVO
110;Element;S2TS-ZON-001;0;0;0;AVO
