item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state
1;1;RV-ARED-1;RV-ARED-1;RV-ARED-1;AP7 - AUSOL I;RV-TUNEL;177+307;CA;
2;1;MM-ARED-1;MM-ARED-1;MM-ARED-1;AP7 - AUSOL I;MM-TUNEL;166+970;CA;
3;1;STMI-ARED-1;STMI-ARED-1;STMI-ARED-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;
4;1;LQ-ARED-1;LQ-ARED-1;LQ-ARED-1;AP7 - AUSOL I;LQ-TUNEL;173+100;CA;
5;1;CH-ARED-1;CH-ARED-1;CH-ARED-1;AP7 - AUSOL I;CH-TUNEL;13+825;CA;
6;1;CAS-ARED-BM;CAS-ARED-BM;CAS-ARED-BM;AP7 - AUSOL II;CAS-TUNEL;147+535;MA;
7;1;CAS-ARED-BC;CAS-ARED-BC;CAS-ARED-BC;AP7 - AUSOL II;CAS-TUNEL;146+655;CA;
8;1;COR-ARED-BC;COR-ARED-BC;COR-ARED-BC;AP7 - AUSOL II;COR-TUNEL;152+000;CA;
9;1;COR-ARED-BM;COR-ARED-BM;COR-ARED-BM;AP7 - AUSOL II;COR-TUNEL;151+225;MA;
10;1;STM2-ARED-BC;STM2-ARED-BC;STM2-ARED-BC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;
11;1;EST-ARED-1;EST-ARED-1;EST-ARED-1;AP7 - AUSOL II;EST-TUNEL;177+307;CA;
13;1;NG-ARED-BM;NG-ARED-BM;NG-ARED-BM;AP7 - AUSOL I;NG-TUNEL;177+712;CA;
