device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_co_concentration(i);offset_alarm_sensor(i);offset_alarm_fa(i)
TUN-CO-1CA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;498;2072;2081
TUN-CO-2CA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;499;2073;2082
TUN-CO-3CA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;500;2074;2083
TUN-CO-4CA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;501;2075;2084
TUN-CO-5CA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;502;2076;2085
TUN-CO-1MA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;503;2077;2086
TUN-CO-2MA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;504;2078;2087
TUN-CO-3MA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;505;2079;2088
TUN-CO-4MA;CO;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;506;2080;2089
