device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm_zone(i);offset_fiber_fault(i);offset_avg_temperature(i);offset_max_temperature(i);offset_min_temperature(i)
TUN-ZI-1CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1672;1674;2938;2939;2940
TUN-ZI-2CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1674;1675;2941;2942;2943
TUN-ZI-3CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1676;1677;2944;2945;2946
TUN-ZI-4CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1678;1679;2947;2948;2949
TUN-ZI-5CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1680;1681;2950;2951;2952
TUN-ZI-6CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1682;1683;2953;2954;2955
TUN-ZI-7CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1684;1685;2956;2957;2958
TUN-ZI-8CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1686;1687;2959;2960;2961
TUN-ZI-9CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1688;1689;2962;2963;2964
TUN-ZI-10CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1690;1691;2965;2966;2967
TUN-ZI-11CA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1692;1693;2968;2969;2970
TUN-ZI-1MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1694;1695;2971;2972;2973
TUN-ZI-2MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1696;1697;2974;2975;2976
TUN-ZI-3MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1698;1699;2977;2978;2979
TUN-ZI-4MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1700;1701;2980;2981;2982
TUN-ZI-5MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1702;1703;2983;2984;2985
TUN-ZI-6MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1704;1705;2986;2987;2988
TUN-ZI-7MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1706;1707;2989;2990;2991
TUN-ZI-8MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1708;1709;2992;2993;2994
TUN-ZI-9MA;FIRE_DET;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;1710;1711;2995;2996;2997
