device_name;source_name;host;port(i);url_publisher;offset_pump_on(i);offset_temperature(i);offset_pressure(i)
PN-BB-REF;CENTRAL_NUCLEAR;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;5011;5012;5013
PN-BB-VAP;CENTRAL_NUCLEAR;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;5014;5015;5016
