device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_light(i);offset_sem_cmd(i)
TUN-SMF-RAV-1MA;SEM-RAV;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6000;8180
TUN-SMF-RAV-1CA;SEM-RAV;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6001;8181
