device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_light_status(i);offset_sem_cmd(i)
TUN-SMF-AA-1MA;SEM-2-GRUPOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6002;8182
TUN-SMF-AA-1CA;SEM-2-GRUPOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6003;8183
TUN-SMF-RR-1MA;SEM-2-GRUPOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6004;8184
TUN-SMF-RR-1CA;SEM-2-GRUPOS;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6005;8185
