device_name;source_name;host;measure_port(i);url_publisher;offset_state(i)
TUN-VM-1MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3688
TUN-VM-2MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3689
TUN-VM-3MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3690
TUN-VM-5MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3691
TUN-VC-1MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3692
TUN-VM-1CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3693
TUN-VM-2CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3694
TUN-VM-3CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3695
TUN-VM-4CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3696
TUN-VM-5CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3697
TUN-VM-6CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3698
TUN-VC-1CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3699
TUN-VM-7CA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3700
TUN-VM-6MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3701
TUN-VM-4MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3702
TUN-VC-2MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3703
TUN-VC-3MA;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3704
TUN-VC-DALJ;VALVULAS;192.168.88.74;504;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3705
