device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_tank_capacity(i);offset_alarm_low_level(i)
TUN-DEP-DIESEL-PCI;TANQUES;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6427;3182
TUN-DALJ-1;TANQUES;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6428;3183
TUN-DEP-TOX-MA;TANQUES;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;6429;3184
