device_name;source_name;host;measure_port(i);port(i);url_publisher;offset_alarm(i);offset_fail(i)
TUN-CT-CGBT-HUM-1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2652;2653
TUN-CT-CGBT-HUM-2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2654;2655
TUN-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2656;2657
TUN-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2658;2659
TUN-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2660;2661
TUN-CT-PCI-HUM-2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2662;2663
HOSP-HUM-L1-ORTH;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2664;2665
HOSP-HUM-L1-REH;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2666;2667
HOSP-HUM-L1-VAR;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2668;2669
HOSP-HUM-L1-ENT;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2670;2671
HOSP-HUM-L1-SPIC;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2672;2673
HOSP-HUM-L1-CENT;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2674;2675
HOSP-HUM-L1-TOW;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2676;2677
HOSP-HUM-L1-HEON;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2678;2679
HOSP-HUM-L1-RHE;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2680;2681
HOSP-HUM-L1-END;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2682;2683
HOSP-HUM-L1-OURE;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2684;2685
HOSP-HUM-L1-EME;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2686;2687
HOSP-HUM-L1-OUT1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2688;2689
HOSP-HUM-L1-OUT2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2690;2691
HOSP-HUM-L2-VAR;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2692;2693
HOSP-HUM-L2-MIN;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2694;2695
HOSP-HUM-L2-CENT1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2696;2697
HOSP-HUM-L2-CENT2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2698;2699
HOSP-HUM-L2-CENT3;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2700;2701
HOSP-HUM-L2-TOW;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2702;2703
HOSP-HUM-L2-GAS;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2704;2705
HOSP-HUM-L2-PED;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2706;2707
HOSP-HUM-L2-CAR;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2708;2709
HOSP-HUM-L3-CENT1;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2710;2711
HOSP-HUM-L3-CENT2;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2712;2713
HOSP-HUM-L3-CENT3;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2714;2715
HOSP-HUM-L3-TOW;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2716;2717
HOSP-HUM-L3-NEP;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2718;2719
HOSP-HUM-L3-NEU;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2720;2721
HOSP-HUM-L3-OUT;SMOKE_DETECTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2722;2723
