device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
TUN-VENT-INT-VF3-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4013
TUN-VENT-INT-VF4-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4014
TUN-VENT-INT-VF5-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4015
TUN-VENT-INT-VF6-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4016
TUN-VENT-INT-VF7-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4017
TUN-VENT-INT-VF8-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4018
TUN-VENT-INT-VF9-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4019
TUN-VENT-INT-VF10-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4020
TUN-VENT-INT-VF11-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4021
TUN-VENT-INT-VF12-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4022
TUN-VENT-INT-VF13-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4023
TUN-VENT-INT-VF14-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4024
TUN-VENT-INT-VF15-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4025
TUN-VENT-INT-VF16-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4026
TUN-MAG-CSV-2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4027
TUN-INT-CSV-2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4028
TUN-MAGDIF-RCAL-CV2',CV2;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4029
TUN-VENT-INT-VF1-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4030
TUN-VENT-INT-VF3-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4031
TUN-VENT-INT-VF4-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4032
TUN-VENT-INT-VF5-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4033
TUN-VENT-INT-VF6-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4034
TUN-VENT-INT-VF7-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4035
TUN-VENT-INT-VF8-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4036
TUN-VENT-INT-VF9-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4037
TUN-VENT-INT-VF10-MA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4038
TUN-MAG-CSV-1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4039
TUN-INT-CSV-1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4040
TUN-MAGDIF-RCAL-CV1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4041
TUN-MAG-CSEDBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4042
TUN-MAG-A1-CGBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4043
TUN-MAG-E1-CGBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4044
TUN-MAG-F1-CGBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4045
TUN-MAG-F2-CGBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4046
TUN-EKOR-RPG-UCT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4047
TUN-MAG-CGBT-MT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4048
TUN-MAG-CSSAI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4049
TUN-CIR-CSSAI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4050
TUN-MAG-CS-ITS1;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4051
TUN-MAG-CSG-GAL;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4052
TUN-MAG-CS-EDIF-ITS;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4053
TUN-MAG-A1-EDIF-ITS;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4054
TUN-MAG-E1-EDIF-ITS;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4055
