device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_redun_comm(i);offset_peripheral_ctrl(i)
TUN-ERU-1-MASTER;ERU;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;0;5929
TUN-ERU-1-SLAVE;ERU;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;0;5930
