item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-DALI-DER-1SS;TUN-DALI-DER-1SS;TUN-DALI-DER-1SS;Carretera Tunel;Carretera;;SS
2;TUN-DALI-IZQ-1SS;TUN-DALI-IZQ-1SS;TUN-DALI-IZQ-1SS;Carretera Tunel;Carretera;;SS
3;TUN-DALI-DER-2SS;TUN-DALI-DER-2SS;TUN-DALI-DER-2SS;Carretera Tunel;Carretera;;SS
4;TUN-DALI-IZQ-2SS;TUN-DALI-IZQ-2SS;TUN-DALI-IZQ-2SS;Carretera Tunel;Carretera;;SS
5;TUN-DALI-DER-3SS;TUN-DALI-DER-3SS;TUN-DALI-DER-3SS;Carretera Tunel;Carretera;;SS
6;TUN-DALI-IZQ-3SS;TUN-DALI-IZQ-3SS;TUN-DALI-IZQ-3SS;Carretera Tunel;Carretera;;SS
7;TUN-DALI-DER-4SS;TUN-DALI-DER-4SS;TUN-DALI-DER-4SS;Carretera Tunel;Carretera;;SS
8;TUN-DALI-IZQ-4SS;TUN-DALI-IZQ-4SS;TUN-DALI-IZQ-4SS;Carretera Tunel;Carretera;;SN
9;TUN-DALI-DER-1SN;TUN-DALI-DER-1SN;TUN-DALI-DER-1SN;Carretera Tunel;Carretera;;SN
10;TUN-DALI-IZQ-1SN;TUN-DALI-IZQ-1SN;TUN-DALI-IZQ-1SN;Carretera Tunel;Carretera;;SN
11;TUN-DALI-DER-2SN;TUN-DALI-DER-2SN;TUN-DALI-DER-2SN;Carretera Tunel;Carretera;;SN
12;TUN-DALI-IZQ-2SN;TUN-DALI-IZQ-2SN;TUN-DALI-IZQ-2SN;Carretera Tunel;Carretera;;SN
13;TUN-DALI-DER-3SN;TUN-DALI-DER-3SN;TUN-DALI-DER-3SN;Carretera Tunel;Carretera;;SN
14;TUN-DALI-IZQ-3SN;TUN-DALI-IZQ-3SN;TUN-DALI-IZQ-3SN;Carretera Tunel;Carretera;;SN
15;TUN-DALI-DER-4SN;TUN-DALI-DER-4SN;TUN-DALI-DER-4SN;Carretera Tunel;Carretera;;SN
16;TUN-DALI-IZQ-4SN;TUN-DALI-IZQ-4SN;TUN-DALI-IZQ-4SN;Carretera Tunel;Carretera;;SN
