item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;param5_circuit_type
69;RV-CONT-A3;Cont. 16 A,IV;RV-CONT-A3;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
70;RV-CONT-A4;Cont. 16 A,IV;RV-CONT-A4;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
71;RV-CONT-A5;Cont. 16 A,IV;RV-CONT-A5;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
72;RV-CONT-A6;Cont. 16 A,IV;RV-CONT-A6;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
73;RV-CONT-A10;Cont. 16 A,IV;RV-CONT-A10;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
74;RV-CONT-A11;Cont. 16 A,IV;RV-CONT-A11;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
75;RV-CONT-A12;Cont. 16 A,IV;RV-CONT-A12;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
76;RV-CONT-A13;Cont. 16 A,IV;RV-CONT-A13;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Refuerzo
77;RV-CONT-A15-SC;Cont. 16 A,IV;RV-CONT-A15-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Aproximación
78;RV-CONT-A17-SM;Cont. 16 A,IV;RV-CONT-A17-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Aproximación
79;RV-CONT-A16-SC;Cont. 16 A,IV;RV-CONT-A16-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Aproximación
80;RV-CONT-A18-SM;Cont. 16 A,IV;RV-CONT-A18-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Aproximación
81;RV-CONT-AA9-SC;Cont. 16 A,IV;RV-CONT-AA9-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA;SendStateToIllumination.groovy;Permanente
