item;alias;description;sessionuid;road;stretchs;secc;pk;dm
1;AL.SE1-S1;AL.SE1-S1;AL.SE1-S1;AVO;;Secc.01-10-01;37+50;620
2;AL.SE1-P1;AL.SE1-P1;AL.SE1-P1;AVO;;Secc.01-10-01;37+50;620
3;CT01-EMR-001;CT01-EMR-001;CT01-EMR-001;AVO;;Secc.01-10-01;37+50;620
4;AL.SE2-S1;AL.SE2-S1;AL.SE2-S1;AVO;;Secc.01-10-01;38+048;1748
5;AL.SE2-P1;AL.SE2-P1;AL.SE2-P1;AVO;;Secc.01-10-01;38+048;1748
6;CT02-EMR-001;CT02-EMR-001;CT02-EMR-001;AVO;;Secc.01-10-01;38+048;1748
7;AL.SE3-S1;AL.SE3-S1;AL.SE3-S1;AVO;;Secc.01-11-12;39+015;2715
8;AL.SE3-P1;AL.SE3-P1;AL.SE3-P1;AVO;;Secc.01-11-12;39+015;2715
9;CT03-EMR-001;CT03-EMR-001;CT03-EMR-001;AVO;;Secc.01-11-12;39+015;2715
10;AL.SE4-S1;AL.SE4-S1;AL.SE4-S1;AVO;;Secc.02-10-04;40+37;4070
11;AL.SE4-P1;AL.SE4-P1;AL.SE4-P1;AVO;;Secc.02-10-04;40+37;4070
12;CT04-EMR-001;CT04-EMR-001;CT04-EMR-001;AVO;;Secc.02-10-04;40+37;4070
13;CT04-EMR-002;CT04-EMR-002;CT04-EMR-002;AVO;;Secc.02-10-04;40+37;4070
14;AL.SE5.1-S1;AL.SE5.1-S1;AL.SE5.1-S1;AVO;;Secc.03-11-11;41+415;5115
15;AL.SE5.1-P1;AL.SE5.1-P1;AL.SE5.1-P1;AVO;;Secc.03-11-11;41+415;5115
16;CT05-EMR-001;CT05-EMR-001;CT05-EMR-001;AVO;;Secc.03-11-11;41+415;5115
17;CT05-EMR-002;CT05-EMR-002;CT05-EMR-002;AVO;;Secc.03-11-11;41+415;5115
18;AL.SE6.1-S1;AL.SE6.1-S1;AL.SE6.1-S1;AVO;;Secc.02-10-05;42+58;6280
19;AL.SE6.1-P1;AL.SE6.1-P1;AL.SE6.1-P1;AVO;;Secc.02-10-05;42+58;6280
