item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_state;on_change_measure;param6_SENTIDO;param7_CARRIL;param8_POSITION
783;3;05:02;05:02;05:02;Autovía A-4;;;;;;MADRID;RÁPIDO;92 BIE
784;3;DB:BF;DB:BF;DB:BF;Autovía A-4;;;;;;MADRID;RÁPIDO;93-D
785;3;DB:C0;DB:C0;DB:C0;Autovía A-4;;;;;;MADRID;RÁPIDO;94-D
786;3;DB:BE;DB:BE;DB:BE;Autovía A-4;;;;;;MADRID;RÁPIDO;95-D
787;3;DB:CB;DB:CB;DB:CB;Autovía A-4;;;;;;MADRID;RÁPIDO;96-D
788;3;05:01;05:01;05:01;Autovía A-4;;;;;;MADRID;RÁPIDO;96 BIE
789;3;DB:CC;DB:CC;DB:CC;Autovía A-4;;;;;;MADRID;RÁPIDO;97-D
790;3;0D:83;0D:83;0D:83;Autovía A-4;;;;;;MADRID;RÁPIDO;97 SOS
791;3;DB:C9;DB:C9;DB:C9;Autovía A-4;;;;;;MADRID;RÁPIDO;98-D
792;3;DB:D3;DB:D3;DB:D3;Autovía A-4;;;;;;MADRID;RÁPIDO;99-D
793;3;DB:C8;DB:C8;DB:C8;Autovía A-4;;;;;;MADRID;RÁPIDO;100-D
794;3;05:0B;05:0B;05:0B;Autovía A-4;;;;;;MADRID;RÁPIDO;100 BIE
795;3;DB:C7;DB:C7;DB:C7;Autovía A-4;;;;;;MADRID;RÁPIDO;101-D
796;3;DB:B3;DB:B3;DB:B3;Autovía A-4;;;;;;MADRID;RÁPIDO;102-D
797;3;DB:CF;DB:CF;DB:CF;Autovía A-4;;;;;;MADRID;RÁPIDO;103-D
798;3;DB:CD;DB:CD;DB:CD;Autovía A-4;;;;;;MADRID;RÁPIDO;104-D
799;3;05:10;05:10;05:10;Autovía A-4;;;;;;MADRID;RÁPIDO;104 BIE
800;3;DB:D4;DB:D4;DB:D4;Autovía A-4;;;;;;MADRID;RÁPIDO;105-D
801;3;DB:D6;DB:D6;DB:D6;Autovía A-4;;;;;;MADRID;RÁPIDO;106-D
802;3;0D:82;0D:82;0D:82;Autovía A-4;;;;;;MADRID;RÁPIDO;106 SOS
803;3;DB:C6;DB:C6;DB:C6;Autovía A-4;;;;;;MADRID;RÁPIDO;107-D
804;3;DB:CE;DB:CE;DB:CE;Autovía A-4;;;;;;MADRID;RÁPIDO;108-D
805;3;DB:CA;DB:CA;DB:CA;Autovía A-4;;;;;;MADRID;RÁPIDO;109-D
806;3;DB:C1;DB:C1;DB:C1;Autovía A-4;;;;;;MADRID;RÁPIDO;110-D
807;3;DB:D8;DB:D8;DB:D8;Autovía A-4;;;;;;MADRID;RÁPIDO;111-D
808;3;DC:21;DC:21;DC:21;Autovía A-4;;;;;;MADRID;RÁPIDO;112-D
809;3;DC:31;DC:31;DC:31;Autovía A-4;;;;;;MADRID;RÁPIDO;113-D
810;3;DC:2F;DC:2F;DC:2F;Autovía A-4;;;;;;MADRID;RÁPIDO;114-D
811;3;DC:2E;DC:2E;DC:2E;Autovía A-4;;;;;;MADRID;RÁPIDO;115-D
812;3;DB:C2;DB:C2;DB:C2;Autovía A-4;;;;;;MADRID;RÁPIDO;116-D
813;3;DC:30;DC:30;DC:30;Autovía A-4;;;;;;MADRID;RÁPIDO;117-D
814;3;DC:2D;DC:2D;DC:2D;Autovía A-4;;;;;;MADRID;RÁPIDO;118-D
815;3;DB:D5;DB:D5;DB:D5;Autovía A-4;;;;;;MADRID;RÁPIDO;119-D
816;3;DB:C4;DB:C4;DB:C4;Autovía A-4;;;;;;MADRID;RÁPIDO;120-D
817;3;DB:D0;DB:D0;DB:D0;Autovía A-4;;;;;;MADRID;RÁPIDO;121-D
818;3;DB:D7;DB:D7;DB:D7;Autovía A-4;;;;;;MADRID;RÁPIDO;122-D
819;3;DB:C5;DB:C5;DB:C5;Autovía A-4;;;;;;MADRID;RÁPIDO;123-D
820;3;DB:C3;DB:C3;DB:C3;Autovía A-4;;;;;;MADRID;RÁPIDO;124-D
821;3;DB:D2;DB:D2;DB:D2;Autovía A-4;;;;;;MADRID;RÁPIDO;125-D
822;3;DB:D1;DB:D1;DB:D1;Autovía A-4;;;;;;MADRID;RÁPIDO;126-D
823;3;DC:13;DC:13;DC:13;Autovía A-4;;;;;;MADRID;RÁPIDO;127-D
824;3;DC:11;DC:11;DC:11;Autovía A-4;;;;;;MADRID;RÁPIDO;128-D
825;3;DC:15;DC:15;DC:15;Autovía A-4;;;;;;MADRID;RÁPIDO;129-D
826;3;DC:12;DC:12;DC:12;Autovía A-4;;;;;;MADRID;RÁPIDO;130-D
827;3;DC:22;DC:22;DC:22;Autovía A-4;;;;;;MADRID;RÁPIDO;131-D
828;3;DC:19;DC:19;DC:19;Autovía A-4;;;;;;MADRID;RÁPIDO;132-D
829;3;DC:1F;DC:1F;DC:1F;Autovía A-4;;;;;;MADRID;RÁPIDO;133-D
830;3;DC:1E;DC:1E;DC:1E;Autovía A-4;;;;;;MADRID;RÁPIDO;134-D
831;3;DC:1B;DC:1B;DC:1B;Autovía A-4;;;;;;MADRID;RÁPIDO;135-D
832;3;DC:20;DC:20;DC:20;Autovía A-4;;;;;;MADRID;RÁPIDO;136-D
833;3;DC:14;DC:14;DC:14;Autovía A-4;;;;;;MADRID;RÁPIDO;137-D
834;3;DC:16;DC:16;DC:16;Autovía A-4;;;;;;MADRID;RÁPIDO;138-D
835;3;DC:18;DC:18;DC:18;Autovía A-4;;;;;;MADRID;RÁPIDO;139-D
836;3;DC:1D;DC:1D;DC:1D;Autovía A-4;;;;;;MADRID;RÁPIDO;140-D
837;3;DC:17;DC:17;DC:17;Autovía A-4;;;;;;MADRID;RÁPIDO;141-D
838;3;DC:23;DC:23;DC:23;Autovía A-4;;;;;;MADRID;RÁPIDO;142-D
839;3;DC:28;DC:28;DC:28;Autovía A-4;;;;;;MADRID;RÁPIDO;143-D
840;3;DC:2B;DC:2B;DC:2B;Autovía A-4;;;;;;MADRID;RÁPIDO;144-D
841;3;DC:27;DC:27;DC:27;Autovía A-4;;;;;;MADRID;RÁPIDO;145-D
842;3;DB:A0;DB:A0;DB:A0;Autovía A-4;;;;;;MADRID;RÁPIDO;146-D
843;3;DC:29;DC:29;DC:29;Autovía A-4;;;;;;MADRID;RÁPIDO;147-D
844;3;DB:A1;DB:A1;DB:A1;Autovía A-4;;;;;;MADRID;RÁPIDO;148-D
845;3;DC:1A;DC:1A;DC:1A;Autovía A-4;;;;;;MADRID;RÁPIDO;149-D
846;3;DC:1C;DC:1C;DC:1C;Autovía A-4;;;;;;MADRID;RÁPIDO;150-D
847;3;DC:24;DC:24;DC:24;Autovía A-4;;;;;;MADRID;RÁPIDO;151-D
848;3;DC:26;DC:26;DC:26;Autovía A-4;;;;;;MADRID;RÁPIDO;152-D
849;3;DC:25;DC:25;DC:25;Autovía A-4;;;;;;MADRID;RÁPIDO;153-D
850;3;DC:2A;DC:2A;DC:2A;Autovía A-4;;;;;;MADRID;RÁPIDO;154-D
851;3;DB:F4;DB:F4;DB:F4;Autovía A-4;;;;;;MADRID;RÁPIDO;42-D
