model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;LQ-VENT-VF1-MA;16516;616;25036;633
A;LQ-VENT-VF2-MA;16517;617;25037;635
A;LQ-VENT-VF3-MA;16518;618;25038;637
A;LQ-VENT-VF4-MA;16519;619;25039;639
A;LQ-VENT-VF5-MA;16520;620;25040;641
A;LQ-VENT-VF6-MA;16521;621;25041;643
A;LQ-VENT-VF7-MA;16522;622;25042;645
A;LQ-VENT-VF8-MA;16523;623;25043;647
A;LQ-VENT-VF9-MA;16524;624;25044;649
A;LQ-VENT-VF10-MA;16525;625;25045;651
