name;device;channel;description;controller;xAddress;xStatusAddress;inverseLogic
LQ-VENT-VF16-CA;SOS_C5;M2DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-16-CA;WAGO;15544;844;false
LQ-VENT-VF1-CA;CGBT;M6DI7;Estado interruptor ventilador LQ-VENT-VF1-CA;WAGO;15545;845;false
LQ-VENT-VF1-CA;CGBT;M6DI10;Estado circuito fallo arrancador ventilador LQ-VENT-VF1-CA;WAGO;15546;846;false
LQ-VENT-VF2-CA;CGBT;M6DI11;Estado interruptor ventilador LQ-VENT-VF2-CA;WAGO;15547;847;false
LQ-VENT-VF2-CA;CGBT;M6DI14;Estado circuito fallo arrancador ventilador LQ-VENT-VF2-CA;WAGO;15548;848;false
LQ-VENT-VF3-CA;CGBT;M6DI15;Estado interruptor ventilador LQ-VENT-VF3-CA;WAGO;15549;849;false
LQ-VENT-VF3-CA;CGBT;M7DI2;Estado circuito fallo arrancador ventilador LQ-VENT-VF3-CA;WAGO;15550;850;false
LQ-VENT-VF4-CA;CGBT;M7DI3;Estado interruptor ventilador LQ-VENT-VF4-CA;WAGO;15551;851;false
LQ-VENT-VF4-CA;CGBT;M7DI6;Estado circuito fallo arrancador ventilador LQ-VENT-VF4-CA;WAGO;15552;852;false
LQ-VENT-VF5-CA;CGBT;M7DI7;Estado interruptor ventilador LQ-VENT-VF5-CA;WAGO;15553;853;false
LQ-VENT-VF5-CA;CGBT;M7DI10;Estado circuito fallo arrancador ventilador LQ-VENT-VF5-CA;WAGO;15554;854;false
LQ-VENT-VF6-CA;CGBT;M7DI11;Estado interruptor ventilador LQ-VENT-VF6-CA;WAGO;15555;855;false
LQ-VENT-VF6-CA;CGBT;M7DI14;Estado circuito fallo arrancador ventilador LQ-VENT-VF6-CA;WAGO;15556;856;false
LQ-VENT-VF7-CA;CGBT;M7DI15;Estado interruptor ventilador LQ-VENT-VF7-CA;WAGO;15557;857;false
LQ-VENT-VF7-CA;CGBT;M8DI2;Estado circuito fallo arrancador ventilador LQ-VENT-VF7-CA;WAGO;15558;858;false
