root_device;signal;id;device;channel;description;controller;inverseLogic;xAddress;xStatusAddress
Central de alarmas LQ Sentido CA;zonesAlarm;1;Siemens_OTS_CA;DI0;LQ-OTS CA Alarma Zona 1;OTS;false;1000;1200
Central de alarmas LQ Sentido CA;zonesAlarm;2;Siemens_OTS_CA;DI1;LQ-OTS CA Alarma Zona 2;OTS;false;1001;1201
Central de alarmas LQ Sentido CA;zonesAlarm;3;Siemens_OTS_CA;DI2;LQ-OTS CA Alarma Zona 3;OTS;false;1002;1202
Central de alarmas LQ Sentido CA;zonesAlarm;4;Siemens_OTS_CA;DI3;LQ-OTS CA Alarma Zona 4;OTS;false;1003;1203
Central de alarmas LQ Sentido CA;zonesAlarm;5;Siemens_OTS_CA;DI4;LQ-OTS CA Alarma Zona 5;OTS;false;1004;1204
Central de alarmas LQ Sentido CA;zonesAlarm;6;Siemens_OTS_CA;DI5;LQ-OTS CA Alarma Zona 6;OTS;false;1005;1205
Central de alarmas LQ Sentido CA;zonesAlarm;7;Siemens_OTS_CA;DI6;LQ-OTS CA Alarma Zona 7;OTS;false;1006;1206
Central de alarmas LQ Sentido CA;zonesAlarm;8;Siemens_OTS_CA;DI7;LQ-OTS CA Alarma Zona 8;OTS;false;1007;1207
Central de alarmas LQ Sentido CA;zonesAlarm;9;Siemens_OTS_CA;DI8;LQ-OTS CA Alarma Zona 9;OTS;false;1008;1208
Central de alarmas LQ Sentido CA;zonesAlarm;10;Siemens_OTS_CA;DI9;LQ-OTS CA Alarma Zona 10;OTS;false;1009;1209
Central de alarmas LQ Sentido CA;zonesAlarm;11;Siemens_OTS_CA;DI10;LQ-OTS CA Alarma Zona 11;OTS;false;1010;1210
Central de alarmas LQ Sentido CA;fiberFaultAlarm;1;Siemens_OTS_CA;DI2000;LQ-OTS CA Alarma fibra Zona 1;OTS;false;1011;1211
Central de alarmas LQ Sentido CA;fiberFaultAlarm;2;Siemens_OTS_CA;DI2001;LQ-OTS CA Alarma fibra Zona 2;OTS;false;1012;1212
Central de alarmas LQ Sentido CA;fiberFaultAlarm;3;Siemens_OTS_CA;DI2002;LQ-OTS CA Alarma fibra Zona 3;OTS;false;1013;1213
Central de alarmas LQ Sentido CA;fiberFaultAlarm;4;Siemens_OTS_CA;DI2003;LQ-OTS CA Alarma fibra Zona 4;OTS;false;1014;1214
Central de alarmas LQ Sentido CA;fiberFaultAlarm;5;Siemens_OTS_CA;DI2004;LQ-OTS CA Alarma fibra Zona 5;OTS;false;1015;1215
