name;device;channel;description;controller;xAddress;xStatusAddress;xAlarmAddress;xAlarmStatusAddress;multiplier;offset;log;units;avg
LQ-VENT-VF7-CA;SOS_C3;M3AI0;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-07-CA;WAGO;16788;194;794;242;0.0625;0.0;false;C;false
LQ-VENT-VF7-CA;SOS_C3;M3AI1;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-07-CA;WAGO;16790;195;795;243;0.0625;0.0;false;C;false
LQ-VENT-VF8-CA;SOS_C3;M3AI2;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-08-CA;WAGO;16792;196;796;244;0.0625;0.0;false;C;false
LQ-VENT-VF8-CA;SOS_C3;M3AI3;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-08-CA;WAGO;16794;197;797;245;0.0625;0.0;false;C;false
LQ-VENT-VF8-CA;SOS_C3;M4AI0;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-09-CA;WAGO;16796;198;798;246;0.0625;0.0;false;C;false
LQ-VENT-VF9-CA;SOS_C3;M4AI1;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-09-CA;WAGO;16798;199;799;247;0.0625;0.0;false;C;false
LQ-VENT-VF10-CA;SOS_C3;M4AI2;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-10-CA;WAGO;16800;200;950;248;0.0625;0.0;false;C;false
LQ-VENT-VF10-CA;SOS_C3;M4AI3;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-10-CA;WAGO;16802;201;951;249;0.0625;0.0;false;C;false
LQ-CO-4CA;SOS_C4;M1AI0;Nivel de CO - C4;WAGO;16804;202;952;250;0.009158;0.0;true;ppm;false
LQ-NO-4CA;SOS_C4;M1AI1;Nivel de NO2 - C4;WAGO;16806;203;953;251;0.000611;0.0;true;ppm;false
LQ-OP-4CA;SOS_C4;M1AI2;Nivel de opacidad - C4;WAGO;16808;204;954;252;0.00000305250;0.0;true;m-1;false
LQ-ANI-3CA;SOS_C4;M1AI3;Velocidad y direccion del viento - C4;WAGO;16810;205;955;253;-0.001221;20;false;m/s;false
LQ-CO-5CA;SOS_C5;M1AI0;Nivel de CO - CA5;WAGO;16812;206;956;254;0.009158;0.0;true;ppm;false
LQ-NO-5CA;SOS_C5;M1AI1;Nivel de NO2 - CA5;WAGO;16814;207;957;255;0.000611;0.0;true;ppm;false
LQ-OP-5CA;SOS_C5;M1AI2;Nivel de opacidad - CA5;WAGO;16816;208;958;256;0.00000305250;0.0;true;m-1;false
LQ-ANI-4CA;SOS_C5;M1AI3;Velocidad y Direccion del viento;WAGO;16818;209;959;257;-0.001221;20;false;m/s;false
LQ-VENT-VF15-CA;SOS_C5;M2AI0;Nivel de Vibracion Ventilador VENT VF-15-CA;WAGO;16820;210;960;258;0.000763;0.0;false;mm/s;false
LQ-VENT-VF16-CA;SOS_C5;M2AI1;Nivel de Vibracion Ventilador VENT VF-16-CA;WAGO;16822;211;961;259;0.000763;0.0;false;mm/s;false
LQ-VENT-VF15-CA;SOS_C5;M3AI0;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-15-CA;WAGO;16824;212;962;260;0.0625;0.0;false;C;false
LQ-VENT-VF15-CA;SOS_C5;M3AI1;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-15-CA;WAGO;16826;213;963;261;0.0625;0.0;false;C;false
LQ-VENT-VF16-CA;SOS_C5;M3AI2;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-16-CA;WAGO;16828;214;964;262;0.0625;0.0;false;C;false
LQ-VENT-VF16-CA;SOS_C5;M3AI3;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-16-CA;WAGO;16830;215;965;263;0.0625;0.0;false;C;false
LQ-LUM-1MA;Rack_Exterior_BC;M1AI0;Nivel de luminosidad LUM BC;WAGO;16832;216;966;264;0.1984126;0.0;false;cd/m 2;true
LQ-VTA-ANE-1MA;Rack_Exterior_BC;M1AI1;Velocidad del viento VEL BC;WAGO;16834;217;967;265;0.00152625;0.0;false;m/s;false
LQ-VTA-ANE-1MA;Rack_Exterior_BC;M1AI2;Direccion del viento CATA BC;WAGO;16836;218;968;266;0.0109890;0.0;false;gr;false
LQ-LUM-1CA;SOS_C1;M2AI1;Nivel de luminosidad LUM BC;WAGO;16838;219;969;267;0.1984126;0.0;false;cd/m 2;true
LQ-FOT-1MA;CGBT;M1AI1;Nivel de luminosidad LQ-FOT-1CA;WAGO;16840;220;970;268;0.305250;0.0;false;lux;false
LQ-VENT-VF3-MA;SOS_M1;M4AI0;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-03-MA;WAGO;16842;221;971;269;0.0625;0.0;false;C;false
LQ-VENT-VF3-MA;SOS_M1;M4AI1;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-03-MA;WAGO;16844;222;972;270;0.0625;0.0;false;C;false
LQ-VENT-VF4-MA;SOS_M1;M4AI2;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-04-MA;WAGO;16846;223;973;271;0.0625;0.0;false;C;false
LQ-VENT-VF4-MA;SOS_M1;M4AI3;Temperatura Rodamientos Trasero Motor Ventilador VENT VF-04-MA;WAGO;16848;224;974;272;0.0625;0.0;false;C;false
