id_synoptic;num_subsistema;subsistema
1;1;CONTROL DE ACCESOS
1;2;CONTROL AMBIENTAL
1;3;CITOFONIA
1;4;CAMARAS
1;5;DAT TRAFICO
1;6;DETECCION LINEAL DE INCENDIOS
1;7;MEGAFONIA
1;8;SERVIDOR DE SINCRONISMO
1;9;ARMARIOS_ELEC
1;10;RADIO
1;11;ELECTRICIDAD
2;1;CONTROL DE ACCESOS
2;2;CONTROL AMBIENTAL
2;3;CITOFONIA
2;4;CAMARAS
2;5;DETECCION LINEAL DE INCENDIOS
2;6;MEGAFONIA
2;7;CONTROL DE INCENDIOS
2;8;PRESURIZACION
2;9;DAT TRAFICO
2;10;ILUMINACION
2;11;SEÑALIZACION
2;12;SERVIDOR DE SINCRONISMO
2;13;ARMARIOS_ELEC
2;14;CT
2;15;RADIO
3;1;CONTROL DE ACCESOS
3;2;CONTROL AMBIENTAL
3;3;CITOFONIA
3;4;CAMARAS
3;5;DETECCION LINEAL DE INCENDIOS
3;6;MEGAFONIA
3;7;CONTROL DE INCENDIOS
3;8;PRESURIZACION
3;9;DAT TRAFICO
3;10;ILUMINACION
3;11;SEÑALIZACION
3;12;SERVIDOR DE SINCRONISMO
3;13;ARMARIOS_ELEC
3;14;CT
3;15;RADIO
4;1;CONTROL DE ACCESOS
4;2;CONTROL AMBIENTAL
4;3;CITOFONIA
4;4;CAMARAS
4;5;DETECCION LINEAL DE INCENDIOS
4;6;MEGAFONIA
4;7;CONTROL DE INCENDIOS
4;8;PRESURIZACION
4;9;DAT TRAFICO
4;10;ILUMINACION
4;11;SEÑALIZACION
4;12;SERVIDOR DE SINCRONISMO
4;13;ARMARIOS_ELEC
4;14;SENTINAS
4;15;CT
4;16;RADIO
5;1;CONTROL DE ACCESOS
5;2;CONTROL AMBIENTAL
5;3;CITOFONIA
5;4;CAMARAS
5;5;DETECCION LINEAL DE INCENDIOS
5;6;MEGAFONIA
5;7;CONTROL DE INCENDIOS
5;8;PRESURIZACION
5;9;DAT TRAFICO
5;10;ILUMINACION
5;11;SEÑALIZACION
5;12;SERVIDOR DE SINCRONISMO
5;13;RADIO
6;1;CAMARAS
6;2;CONTROL DE ACCESOS
6;3;CITOFONIA
6;4;CONTROL AMBIENTAL
6;5;CONTROL DE INCENDIOS
6;6;DETECCION LINEAL DE INCENDIOS
6;7;MEGAFONIA
6;8;DAT TRAFICO
6;9;PRESURIZACION
6;10;ILUMINACION
6;11;SEÑALIZACION
6;12;SERVIDOR DE SINCRONISMO
6;13;CT
6;14;RADIO
7;1;CAMARAS
7;2;CONTROL DE ACCESOS
7;3;CITOFONIA
7;4;CONTROL AMBIENTAL
7;5;CONTROL DE INCENDIOS
7;6;DETECCION LINEAL DE INCENDIOS
7;7;MEGAFONIA
7;8;DAT TRAFICO
7;9;PRESURIZACION
7;10;ILUMINACION
7;11;SEÑALIZACION
7;12;SERVIDOR DE SINCRONISMO
7;13;ARMARIOS_ELEC
7;14;CT
7;15;RADIO
8;1;CAMARAS
8;2;CONTROL DE ACCESOS
8;3;CITOFONIA
8;4;CONTROL AMBIENTAL
8;5;CONTROL DE INCENDIOS
8;6;DETECCION LINEAL DE INCENDIOS
8;7;MEGAFONIA
8;8;DAT TRAFICO
8;9;PRESURIZACION
8;10;ILUMINACION
8;11;SEÑALIZACION
8;12;SERVIDOR DE SINCRONISMO
8;13;ARMARIOS_ELEC
8;14;CT
8;15;RADIO
9;1;CAMARAS
9;2;CONTROL DE ACCESOS
9;3;CITOFONIA
9;4;CONTROL AMBIENTAL
9;5;CONTROL DE INCENDIOS
9;6;DETECCION LINEAL DE INCENDIOS
9;7;MEGAFONIA
9;8;DAT TRAFICO
9;9;PRESURIZACION
9;10;ILUMINACION
9;11;SEÑALIZACION
9;12;SERVIDOR DE SINCRONISMO
9;13;ARMARIOS_ELEC
9;14;RADIO
10;1;CONTROL AMBIENTAL
10;2;CONTROL DE ACCESOS
10;3;CITOFONIA
10;4;CONTROL DE INCENDIOS
10;5;DETECCION LINEAL DE INCENDIOS
10;6;MEGAFONIA
10;7;DAT TRAFICO
10;8;PRESURIZACION
10;9;ILUMINACION
10;10;SEÑALIZACION
10;11;CAMARAS
10;12;SERVIDOR DE SINCRONISMO
10;13;ARMARIOS_ELEC
10;14;RADIO
11;1;CAMARAS
11;2;CONTROL DE ACCESOS
11;3;DETECCION LINEAL DE INCENDIOS
11;4;CONTROL AMBIENTAL
11;5;CITOFONIA
11;6;CONTROL DE INCENDIOS
11;7;DAT TRAFICO
11;8;PRESURIZACION
11;9;ILUMINACION
11;10;SEÑALIZACION
11;11;MEGAFONIA
11;12;SERVIDOR DE SINCRONISMO
11;14;ARMARIOS_ELEC
11;15;CT
11;16;RADIO
12;1;CAMARAS
12;2;CONTROL DE ACCESOS
12;3;DETECCION LINEAL DE INCENDIOS
12;4;CONTROL AMBIENTAL
12;5;CITOFONIA
12;6;CONTROL DE INCENDIOS
12;7;DAT TRAFICO
12;8;PRESURIZACION
12;9;ILUMINACION
12;10;SEÑALIZACION
12;11;MEGAFONIA
12;12;SERVIDOR DE SINCRONISMO
12;13;SENTINAS
12;14;RADIO
13;1;CAMARAS
13;2;CONTROL DE ACCESOS
13;3;DETECCION LINEAL DE INCENDIOS
13;4;CONTROL AMBIENTAL
13;5;CITOFONIA
13;6;PRESURIZACION
13;7;CONTROL DE INCENDIOS
13;8;DAT TRAFICO
13;9;ILUMINACION
13;10;SEÑALIZACION
13;11;MEGAFONIA
13;12;SERVIDOR DE SINCRONISMO
13;13;SENTINAS
13;14;RADIO
14;1;CAMARAS
14;2;CONTROL DE ACCESOS
14;3;CITOFONIA
14;4;CONTROL AMBIENTAL
14;5;DETECCION LINEAL DE INCENDIOS
14;6;PRESURIZACION
14;7;CONTROL DE INCENDIOS
14;8;DAT TRAFICO
14;9;ILUMINACION
14;10;SEÑALIZACION
14;11;MEGAFONIA
14;12;SERVIDOR DE SINCRONISMO
14;13;RADIO
15;1;CAMARAS
15;2;CONTROL DE ACCESOS
15;3;CITOFONIA
15;4;CONTROL AMBIENTAL
15;5;DETECCION LINEAL DE INCENDIOS
15;6;PRESURIZACION
15;7;CONTROL DE INCENDIOS
15;8;DAT TRAFICO
15;9;ILUMINACION
15;10;SEÑALIZACION
15;11;MEGAFONIA
15;12;SERVIDOR DE SINCRONISMO
15;13;ARMARIOS_ELEC
15;14;SENTINAS
15;15;CT
15;16;RADIO
16;1;CONTROL DE ACCESOS
16;2;CONTROL AMBIENTAL
16;3;CITOFONIA
16;4;CAMARAS
16;5;DETECCION LINEAL DE INCENDIOS
16;6;CONTROL DE INCENDIOS
16;7;PRESURIZACION
16;8;MEGAFONIA
16;9;DAT TRAFICO
16;10;SEÑALIZACION
16;11;SERVIDOR DE SINCRONISMO
16;12;ARMARIOS_ELEC
16;13;ELECTRICIDAD
16;14;ILUMINACION
16;15;CT
16;16;SENTINAS
