id;x;y;name;description;label;icon;base_layer
1;1;1;TREE_S1_T1;SECTOR 1 - STRETCH 1;LBL_TREE_S1_T1;NULL;AVO_S1_T1.svg
2;1;1;TREE_S1_T2;SECTOR 1 - STRETCH 2;LBL_TREE_S1_T2;NULL;AVO_S1_T2.svg
3;1;1;TREE_S1_T3;SECTOR 1 - STRETCH 3;LBL_TREE_S1_T3;NULL;AVO_S1_T3.svg
4;1;1;TREE_S1_T4;SECTOR 1 - STRETCH 4;LBL_TREE_S1_T4;NULL;AVO_S1_T4.svg
5;1;1;TREE_S1_T5;SECTOR 1 - STRETCH 5;LBL_TREE_S1_T5;NULL;AVO_S1_T5.svg
6;1;1;TREE_S2_T1_LEVEL_1;SECTOR 2 - STRETCH 1 - LEVEL 1;LBL_TREE_S2_T1_LEVEL_1;NULL;AVO_Z2_T1.svg
7;1;1;TREE_S2_T2_LEVEL_1;SECTOR 2 - STRETCH 2 - LEVEL 1;LBL_TREE_S2_T2_LEVEL_1;NULL;AVO_Z2_T2.svg
8;1;1;TREE_S2_T3_LEVEL_1;SECTOR 2 - STRETCH 3 - LEVEL 1;LBL_TREE_S1_T3_LEVEL_1;NULL;AVO_Z2_T3.svg
9;1;1;TREE_S2_T4_LEVEL_1;SECTOR 2 - STRETCH 4 - LEVEL 1;LBL_TREE_S1_T4_LEVEL_1;NULL;AVO_Z2_T4.svg
10;1;1;TREE_S2_T5_LEVEL_1;SECTOR 2 - STRETCH 5 - LEVEL 1;LBL_TREE_S1_T5_LEVEL_1;NULL;AVO_Z2_T5.svg
11;1;1;TREE_Z3_T1_LEVEL_2;SECTOR 2 - STRETCH 1 - LEVEL 2;LBL_TREE_S1_T1_LEVEL_2;NULL;AVO_Z3_T1.svg
12;1;1;TREE_Z3_T2_LEVEL_2;SECTOR 2 - STRETCH 2 - LEVEL 2;LBL_TREE_S1_T2_LEVEL_2;NULL;AVO_Z3_T2.svg
13;1;1;TREE_Z3_T3_LEVEL_2;SECTOR 2 - STRETCH 3 - LEVEL 2;LBL_TREE_S1_T3_LEVEL_2;NULL;AVO_Z3_T3.svg
14;1;1;TREE_Z3_T4_LEVEL_2;SECTOR 2 - STRETCH 4 - LEVEL 2;LBL_TREE_S1_T4_LEVEL_2;NULL;AVO_Z3_T4.svg
15;1;1;TREE_S2_T5_LEVEL_2;SECTOR 2 - STRETCH 5 - LEVEL 2;LBL_TREE_S1_T5_LEVEL_2;NULL;AVO_Z3_T5.svg
16;1;1;TREE_S1;SECTOR 1 - STRETCH 1;LBL_TREE_S1;NULL;AVO_S1.svg
17;1;1;TREE_S2;SECTOR 2 - STRETCH 1;LBL_TREE_S2;NULL;AVO_S2.svg
18;1;1;TREE_S3;SECTOR 3 - STRETCH 1;LBL_TREE_S3;NULL;AVO_S3.svg
20;1;1;TREE_UF_CT_1;AVO_UF_CT_1;TREE_UF_CT_1;NULL;AVO_UF_CT1_TUPS.svg
21;1;1;TREE_UF_CT_2;UF_CT_2;TREE_UF_CT_2;NULL;AVO_UF_CT02_TUPS.svg
22;1;1;TREE_UF_CT_3;UF_CT_3;TREE_UF_CT_3;NULL;AVO_UF_CT03_TUPS.svg
23;1;1;TREE_UF_CT_4;UF_CT_4;TREE_UF_CT_4;NULL;AVO_UF_CT04_TUPS.svg
24;1;1;TREE_UF_CT_5;UF_CT_5;TREE_UF_CT_5;NULL;AVO_UF_CT05_TUPS.svg
25;1;1;TREE_UF_CT_6;UF_CT_6;TREE_UF_CT_6;NULL;AVO_UF_CT06_TUPS.svg
26;1;1;TREE_UF_CT_7_1;UF_CT_7_1;TREE_UF_CT_7_1;NULL;AVO_UF_CT07_TUPS.svg
27;1;1;TREE_UF_CT_7_2;UF_CT_7_2;TREE_UF_CT_7_2;NULL;AVO_UF_CT07_TFYA.svg
28;1;1;TREE_UF_CT_8;UF_CT_8;TREE_UF_CT_8;NULL;AVO_UF_CT08_TUPS.svg
29;1;1;TREE_UF_CT_1_2;UF_CT_1_2;TREE_UF_CT_1_2;NULL;AVO_UF_CT1_2.svg
30;1;1;TREE_CT_1;CT_1;TREE_CT_1;NULL;CT1_cableado_deteccion.svg
31;1;1;TREE_CT_2;CT_2;TREE_CT_2;NULL;CT2_cableado_deteccion.svg
32;1;1;TREE_CT_3;CT_3;TREE_CT_3;NULL;CT3_cableado_deteccion.svg
33;1;1;TREE_CT_4;CT_4;TREE_CT_4;NULL;CT4_cableado_deteccion.svg
34;1;1;TREE_CT_5;CT_5;TREE_CT_5;NULL;CT5_cableado_deteccion.svg
35;1;1;TREE_CT_6;CT_6;TREE_CT_6;NULL;CT6_cableado_deteccion.svg
36;1;1;TREE_CT_7;CT_7;TREE_CT_7;NULL;CT7_cableado_deteccion.svg
37;1;1;TREE_CT_8;CT_8;TREE_CT_8;NULL;CT8_cableado_deteccion.svg
38;1;1;TREE_CANTON1_Z1_T2;CANTON1_Z1_T2;TREE_CANTON1_Z1_T2;NULL;CANTON1_Z1_T2.svg
39;1;1;TREE_CANTON2_Z1_T3;CANTON2_Z1_T3;TREE_CANTON2_Z1_T3;NULL;CANTON2_Z1_T3.svg
40;1;1;TREE_CANTON3_Z1_T4;CANTON3_Z1_T4;TREE_CANTON3_Z1_T4;NULL;CANTON3_Z1_T4.svg
41;1;1;TREE_CANTON3_Z1_T5;CANTON4_Z1_T5;TREE_CANTON3_Z1_T5;NULL;CANTON3_Z1_T5.svg
42;1;1;TREE_CANTON12_Z2_T1;CANTON12_Z2_T1;TREE_CANTON12_Z2_T1;NULL;CANTON12_Z2_T1.svg
43;1;1;TREE_PANELES_TARIFARIOS;PANELES_TARIFARIOS;TREE_PANELES_TARIFARIOS;NULL;AVO_PANELES_TARIFARIOS.svg
44;1;1;TREE_CANTON11_Z2_T2;CANTON11_Z2_T2;TREE_CANTON11_Z2_T2;NULL;CANTON11_Z2_T2.svg
45;1;1;TREE_UF_CT1_SE1;UF_C1_SE1;LBL_TREE_UF_CT1_SE1;NULL;AVO_UF_CT1_SE1.svg
46;1;1;TREE_UF_CT1_SE2;UF_C1_SE2;LBL_TREE_UF_CT1_SE2;NULL;AVO_UF_CT1_SE2.svg
47;1;1;TREE_UF_CT2_TCE3;TREE_UF_CT2_TCE3;LBL_TREE_UF_CT2_TCE3;NULL;AVO_UF_CT2_TCE3.svg
48;1;1;TREE_UF_CT2_TCE4;TREE_UF_CT2_TCE4;LBL_TREE_UF_CT2_TCE4;NULL;AVO_UF_CT2_TCE4.svg
49;1;1;TREE_UF_CT2_TCE5;TREE_UF_CT2_TCE5;LBL_TREE_UF_CT2_TCE5;NULL;AVO_UF_CT2_TCE5.svg
50;1;1;TREE_UF_CT2_TCE6;TREE_UF_CT2_TCE6;LBL_TREE_UF_CT2_TCE6;NULL;AVO_UF_CT2_TCE6.svg
51;1;1;TREE_UF_CT2_TCER1;TREE_UF_CT2_TCER1;TREE_UF_CT2_TCER1;NULL;AVO_UF_CT2_TCER1.svg
52;1;1;TREE_UF_CT2_TCER2;TREE_UF_CT2_TCER2;TREE_UF_CT2_TCER2;NULL;AVO_UF_CT2_TCER2.svg
53;1;1;TREE_UF_CT3_TCE7;TREE_UF_CT3_TCE7;TREE_UF_CT3_TCE7;NULL;AVO_UF_CT3_TCE7.svg
54;1;1;TREE_UF_CT3_TCE8;TREE_UF_CT3_TCE8;TREE_UF_CT3_TCE8;NULL;AVO_UF_CT3_TCE8.svg
55;1;1;TREE_UF_CT3_TSEM01;TREE_UF_CT3_TSEM01;TREE_UF_CT3_TSEM01;NULL;AVO_UF_CT3_TSEM01.svg
56;1;1;TREE_UF_CT3_TSEM02;TREE_UF_CT3_TSEM02;TREE_UF_CT3_TSEM02;NULL;AVO_UF_CT3_TSEM02.svg
57;1;1;TREE_UF_CT3_TSEM03;TREE_UF_CT3_TSEM03;TREE_UF_CT3_TSEM03;NULL;AVO_UF_CT3_TSEM03.svg
58;1;1;TREE_UF_CT3_TSEM04;TREE_UF_CT3_TSEM04;TREE_UF_CT3_TSEM04;NULL;AVO_UF_CT3_TSEM04.svg
59;1;1;TREE_UF_SALIDA_EMERGENCIA_1_CT6;TREE_UF_SALIDA_EMERGENCIA_1_CT6;TREE_UF_SALIDA_EMERGENCIA_1_CT6;NULL;AVO_UF_CT6_CTI-1_00001.svg
60;1;1;TREE_UF_SALIDA_EMERGENCIA_2_CT6;TREE_UF_SALIDA_EMERGENCIA_2_CT6;TREE_UF_SALIDA_EMERGENCIA_2_CT6;NULL;AVO_UF_CT6_CTI_2_00001.svg
61;1;1;TREE_UF_SALIDA_EMERGENCIA_3_CT6;TREE_UF_SALIDA_EMERGENCIA_3_CT6;TREE_UF_SALIDA_EMERGENCIA_3_CT6;NULL;AVO_UF_CT6_CTI-3_00001.svg
62;1;1;TREE_UF_SALIDA_EMERGENCIA_4_CT6;TREE_UF_SALIDA_EMERGENCIA_4_CT6;TREE_UF_SALIDA_EMERGENCIA_4_CT6;NULL;AVO_UF_CT6_CTI-4_00001.svg
63;1;1;TREE_UF_SALIDA_EMERGENCIA_5_CT6;TREE_UF_SALIDA_EMERGENCIA_5_CT6;TREE_UF_SALIDA_EMERGENCIA_5_CT6;NULL;AVO_UF_CT6_CTI-5_00001.svg
64;1;1;TREE_UF_SALIDA_EMERGENCIA_6_CT6;TREE_UF_SALIDA_EMERGENCIA_6_CT6;TREE_UF_SALIDA_EMERGENCIA_6_CT6;NULL;AVO_UF_CT6_CTI-12.svg
65;1;1;TREE_UF_CT4_SEM04;TREE_UF_CT4_SEM04;TREE_UF_CT4_SEM04;NULL;AVO_UF_CT4_SEM04.svg
66;1;1;TREE_UF_CT4_SEM05;TREE_UF_CT4_SEM05;TREE_UF_CT4_SEM05;NULL;AVO_UF_CT4_SEM05.svg
67;1;1;TREE_UF_CT4_SEM06;TREE_UF_CT4_SEM06;TREE_UF_CT4_SEM06;NULL;AVO_UF_CT4_SEM06.svg
68;1;1;TREE_UF_CT4_SEM07;TREE_UF_CT4_SEM07;TREE_UF_CT4_SEM07;NULL;AVO_UF_CT4_SEM07.svg
70;1;1;TREE_UF_SALIDA_EMERGENCIA_1_CT5;TREE_UF_SALIDA_EMERGENCIA_1_CT5;TREE_UF_SALIDA_EMERGENCIA_1_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.001.3-854.TSEE8.1.SEM8.svg
71;1;1;TREE_UF_SALIDA_EMERGENCIA_2_CT5;TREE_UF_SALIDA_EMERGENCIA_2_CT5;TREE_UF_SALIDA_EMERGENCIA_2_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.002.3-854.TSEE9.1.SEM9.svg
72;1;1;TREE_UF_SALIDA_EMERGENCIA_3_CT5;TREE_UF_SALIDA_EMERGENCIA_3_CT5;TREE_UF_SALIDA_EMERGENCIA_3_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.003.3-854.TSEE10.1.SEM10.svg
73;1;1;TREE_UF_SALIDA_EMERGENCIA_4_CT5;TREE_UF_SALIDA_EMERGENCIA_4_CT5;TREE_UF_SALIDA_EMERGENCIA_4_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.004.3-854.TSEE11.1.SEM11.svg
74;1;1;TREE_UF_SALIDA_EMERGENCIA_5_CT5;TREE_UF_SALIDA_EMERGENCIA_5_CT5;TREE_UF_SALIDA_EMERGENCIA_5_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.005.3-854.TSEE12.1.SEM12.svg
75;1;1;TREE_UF_SALIDA_EMERGENCIA_6_CT5;TREE_UF_SALIDA_EMERGENCIA_6_CT5;TREE_UF_SALIDA_EMERGENCIA_6_CT5;NULL;AVO.PC-S2-V23.IEL-PD-508.006.3-854.TSEE13.1.SEM13.svg
100;1;1;TREE_UF_SALIDA_EMERGENCIA_1_CT8;UF_SALIDA_EMERGENCIA_1_CT8;TREE_UF_SALIDA_EMERGENCIA_1_CT8;NULL;AVO_UF_CT8_CTI-10.svg
101;1;1;TREE_UF_SALIDA_EMERGENCIA_2_CT8;UF_SALIDA_EMERGENCIA_2_CT8;TREE_UF_SALIDA_EMERGENCIA_2_CT8;NULL;AVO_UF_CT8_CTI-11.svg
102;1;1;TREE_UF_SALIDA_EMERGENCIA_1_CT7;UF_SALIDA_EMERGENCIA_1_CT7;TREE_UF_SALIDA_EMERGENCIA_1_CT7;NULL;AVO_UF_CT7_CTI-6.svg
103;1;1;TREE_UF_SALIDA_EMERGENCIA_2_CT7;UF_SALIDA_EMERGENCIA_2_CT7;TREE_UF_SALIDA_EMERGENCIA_2_CT7;NULL;AVO_UF_CT7_CTI-7.svg
104;1;1;TREE_UF_SALIDA_EMERGENCIA_3_CT7;UF_SALIDA_EMERGENCIA_3_CT7;TREE_UF_SALIDA_EMERGENCIA_3_CT7;NULL;AVO_UF_CT7_CTI-8.svg
105;1;1;TREE_UF_SALIDA_EMERGENCIA_4_CT7;UF_SALIDA_EMERGENCIA_4_CT7;TREE_UF_SALIDA_EMERGENCIA_4_CT7;NULL;AVO_UF_CT7_CTI-9.svg
106;1;1;TREE_UF_SALIDA_EMERGENCIA_5_CT7;UF_SALIDA_EMERGENCIA_5_CT7;TREE_UF_SALIDA_EMERGENCIA_5_CT7;NULL;AVO_UF_CT7_CTII-1.svg
107;1;1;TREE_UF_SALIDA_EMERGENCIA_6_CT7;UF_SALIDA_EMERGENCIA_6_CT7;TREE_UF_SALIDA_EMERGENCIA_6_CT7;NULL;AVO_UF_CT7_CTIII-2.svg
108;1;1;TREE_CANTON10_Z2_T3;CANTON10_Z2_T3;TREE_CANTON10_Z2_T3;NULL;CANTON10_Z2_T3.svg
109;1;1;TREE_CANTON9_Z2_T4;CANTON9_Z2_T4;TREE_CANTON9_Z2_T4;NULL;CANTON9_Z2_T4.svg
110;1;1;TREE_UF_CT_2_TFYA;UF_CT_2_TFYA;TREE_UF_CT_2_TFYA;NULL;AVO_UF_CT02_TFYA.svg
111;1;1;TREE_UF_CT_8_TFYA;UF_CT_8_TFYA;TREE_UF_CT_8_TFYA;NULL;AVO_UF_CT08_TFYA.svg
112;1;1;TREE_UF_CT_3_TFYA;UF_CT_3_TFYA;TREE_UF_CT_3_TFYA;NULL;AVO_UF_CT03_TFYA.svg
113;1;1;TREE_UF_CT4_SEM03;UF_CT4_SEM03;TREE_UF_CT4_SEM03;NULL;AVO_UF_CT4_SEM03.svg
114;1;1;TREE_UF_CT04_TFYA;UF_CT04_TFYA;TREE_UF_CT04_TFYA;NULL;AVO_UF_CT04_TFYA.svg
115;1;1;TREE_UF_CT05_TFYA;UF_CT05_TFYA;TREE_UF_CT05_TFYA;NULL;AVO_UF_CT05_TFYA.svg
116;1;1;TREE_UF_CT06_TFYA;UF_CT06_TFYA;TREE_UF_CT06_TFYA;NULL;AVO_UF_CT06_TFYA.svg
117;1;1;TREE_ALJ_1;ALJ_1;TREE_ALJ_1;NULL;AVO_ALJ_1.svg
118;1;1;TREE_ALJ_2;ALJ_2;TREE_ALJ_2;NULL;AVO_ALJ_2.svg
119;1;1;TREE_ALJ_3;ALJ_3;TREE_ALJ_3;NULL;AVO_ALJ_3.svg
120;1;1;TREE_ALJ_4;ALJ_4;TREE_ALJ_4;NULL;AVO_ALJ_4.svg
