id_synoptic;id_subsistema;id_element_type;name;description;label;base_layer
1;1;NULL;CONTROL DE ACCESOS;CONTROL DE ACCESOS;LBL_CTRL_ACCESOS;NULL
1;2;NULL;CONTROL AMBIENTAL;CONTROL AMBIENTAL;LBL_CTRL_AMBIENTAL;NULL
1;3;NULL;CITOFONIA;CITOFONIA;LBL_CITOFONIA;NULL
1;4;NULL;CAMARAS;CAMARAS;LBL_CAMARAS;NULL
1;5;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAFICO;NULL
1;6;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
1;8;NULL;SERVIDOR DE SINCRONISMO;SERVIDOR DE SINCRONISMO;LBL_SERVIDOR_DE_SINCRONISMO;NULL
1;9;NULL;ARMARIOS_ELEC;ARMARIOS_ELEC;LBL_ARMARIOS_ELEC;NULL
1;10;NULL;RADIO;RADIO;LBL_RADIO;NULL
1;11;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
2;1;NULL;CONTROL DE ACCESOS;CONTROL DE ACCESOS;LBL_CTRL_ACCESOS;NULL
2;2;NULL;CONTROL AMBIENTAL;CONTROL AMBIENTAL;LBL_CTRL_AMBIENTAL;NULL
2;3;NULL;CITOFONIA;CITOFONIA;LBL_CITOFONIA;NULL
2;4;NULL;CAMARAS;CAMARAS;LBL_CAMARAS;NULL
2;5;NULL;DETECCION LINEAL DE INCENDIOS;DETECCION LINEAL DE INCENDIOS;LBL_DETECCION_LINEAL_DE_INCENDIOS;NULL
2;6;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
2;7;NULL;CONTROL DE INCENDIOS;CONTROL DE INCENDIOS;LBL_CONTROL_DE_INCENDIOS;NULL
2;8;NULL;PRESURIZACION;PRESURIZACION;LBL_PRESURIZACION;NULL
2;9;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAFICO;NULL
2;10;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
2;11;NULL;SEÑALIZACION;SEÑALIZACION;LBL_SEÑALIZACION;NULL
2;12;NULL;SERVIDOR DE SINCRONISMO;SERVIDOR DE SINCRONISMO;LBL_SERVIDOR_DE_SINCRONISMO;NULL
2;13;NULL;ARMARIOS_ELEC;ARMARIOS_ELEC;LBL_ARMARIOS_ELEC;NULL
2;14;NULL;CT;CT;LBL_CT;NULL
2;15;NULL;RADIO;RADIO;LBL_RADIO;NULL
3;1;NULL;CONTROL DE ACCESOS;CONTROL DE ACCESOS;LBL_CTRL_ACCESOS;NULL
3;2;NULL;CONTROL AMBIENTAL;CONTROL AMBIENTAL;LBL_CTRL_AMBIENTAL;NULL
3;3;NULL;CITOFONIA;CITOFONIA;LBL_CITOFONIA;NULL
3;4;NULL;CAMARAS;CAMARAS;LBL_CAMARAS;NULL
3;5;NULL;DETECCION LINEAL DE INCENDIOS;DETECCION LINEAL DE INCENDIOS;LBL_DETECCION_LINEAL_DE_INCENDIOS;NULL
3;6;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
3;7;NULL;CONTROL DE INCENDIOS;CONTROL DE INCENDIOS;LBL_CONTROL_DE_INCENDIOS;NULL
3;8;NULL;PRESURIZACION;PRESURIZACION;LBL_PRESURIZACION;NULL
3;9;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAFICO;NULL
3;10;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
3;11;NULL;SEÑALIZACION;SEÑALIZACION;LBL_SEÑALIZACION;NULL
3;12;NULL;SERVIDOR DE SINCRONISMO;SERVIDOR DE SINCRONISMO;LBL_SERVIDOR_DE_SINCRONISMO;NULL
3;13;NULL;ARMARIOS_ELEC;ARMARIOS_ELEC;LBL_ARMARIOS_ELEC;NULL
3;14;NULL;CT;CT;LBL_CT;NULL
3;15;NULL;RADIO;RADIO;LBL_RADIO;NULL
4;1;NULL;CONTROL DE ACCESOS;CONTROL DE ACCESOS;LBL_CTRL_ACCESOS;NULL
4;2;NULL;CONTROL AMBIENTAL;CONTROL AMBIENTAL;LBL_CTRL_AMBIENTAL;NULL
