item;alias;description;sessionuid;road;stretchs;pk;sentido;param1_direction;param2_order;param3_mask_validation;param4_delay
1;SEC-1-DET-1;SEC-1-DET-1;SEC-1-DET-1;BA;BA;173+900;MA;true;1;0;0
2;SEC-1-DET-2;SEC-1-DET-2;SEC-1-DET-2;BA;BA;173+900;MA;true;2;0;0
3;SEC-2-DET-1;SEC-2-DET-1;SEC-2-DET-1;BA;BA;173+900;MA;true;1;0;0
4;SEC-2-DET-2;SEC-2-DET-2;SEC-2-DET-2;BA;BA;173+900;MA;true;2;0;0
5;SEC-3-DET-1;SEC-3-DET-1;SEC-3-DET-1;BA;BA;173+900;MA;true;1;0;0
6;SEC-3-DET-2;SEC-3-DET-2;SEC-3-DET-2;BA;BA;173+900;MA;true;2;0;0
7;SEC-4-DET-1;SEC-4-DET-1;SEC-4-DET-1;BA;BA;173+900;MA;true;1;0;0
8;SEC-4-DET-2;SEC-4-DET-2;SEC-4-DET-2;BA;BA;173+900;MA;true;2;0;0
9;SEC-5-DET-1;SEC-5-DET-1;SEC-5-DET-1;BA;BA;173+900;MA;true;1;0;0
10;SEC-5-DET-2;SEC-5-DET-2;SEC-5-DET-2;BA;BA;173+900;MA;true;2;0;0
11;SEC-6-DET-1;SEC-6-DET-1;SEC-6-DET-1;BA;BA;173+900;MA;true;1;0;0
12;SEC-6-DET-2;SEC-6-DET-2;SEC-6-DET-2;BA;BA;173+900;MA;true;2;0;0
