item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;LQ-CGBT-1;LQ-CGBT-1;LQ-CGBT-1;Carretera Tunel;Carretera;173+626;CA
2;2;LQ-CITS-1;LQ-CITS-1;LQ-CITS-1;Carretera Tunel;Carretera;173+626;CA
3;2;LQ-PCI-1;LQ-PCI-1;LQ-PCI-1;Carretera Tunel;Carretera;173+626;CA
4;2;LQ-CBT;LQ-CBT;LQ-CBT;Carretera Tunel;Carretera;173+626;CA
